Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	stimulation
ABTB2	4.90399769278885	2.89960525601268	0.845279486917337	3.43035090865306	0.000602801136748713	0.00752197812311981	IFN_B1a
ABTB2	4.90399769278885	-2.14311790510462	1.16021218627994	-1.84717755118244	0.0647214117948844	NA	IFN_lambda2
ABTB2	4.90399769278885	-1.69966487944362	1.10722744261322	-1.53506390288897	0.12476813194768	0.495315086142997	IFN_y
ABTB2	4.90399769278885	-1.75452472064353	1.03350985182135	-1.69763715125845	0.0895762664247813	NA	IL_10
ABTB2	4.90399769278885	0.145016505600085	0.948840314947015	0.152835522812058	0.878527983658854	NA	IL_13
ABTB2	4.90399769278885	0.25078389505352	0.886569147349314	0.282870090622169	0.777276422808619	NA	IL_4
ADAR	81.3316493577426	2.92871620400888	0.218767169756415	13.387366154025	7.16777895156036e-41	2.398902019824e-38	IFN_B1a
ADAR	81.3316493577426	0.691209948594882	0.230254643025744	3.00193707067874	0.00268267625834562	0.0495428968127594	IFN_lambda2
ADAR	81.3316493577426	1.26040944930652	0.225390637872712	5.59211092884137	2.24325418473388e-08	2.63616355406e-06	IFN_y
ADAR	81.3316493577426	0.266732314805559	0.230027257149043	1.15956829686812	0.246224614925714	0.57887565582777	IL_10
ADAR	81.3316493577426	0.585591686163499	0.243280038439607	2.40706837239698	0.0160811588674034	0.176601252994447	IL_13
ADAR	81.3316493577426	0.314855521531378	0.232053331557632	1.35682396549942	0.17483715073406	0.520911980759304	IL_4
ADCY7	58.3820389451249	2.12003093446325	0.245389438847445	8.63945467425451	5.64819671745523e-18	5.2929251439273e-16	IFN_B1a
ADCY7	58.3820389451249	1.24457380935715	0.244046232673637	5.09974604287998	3.40109499432548e-07	4.77316831703625e-05	IFN_lambda2
ADCY7	58.3820389451249	1.08913649244465	0.247858204027173	4.39419181914691	1.11185609713273e-05	0.000571096416514004	IFN_y
ADCY7	58.3820389451249	0.962049189743672	0.242317169783666	3.97020644720538	7.18103824076702e-05	0.00154431778430561	IL_10
ADCY7	58.3820389451249	0.948730089386094	0.258859673496975	3.66503625910346	0.000247303543501782	0.00867810616288073	IL_13
ADCY7	58.3820389451249	1.25013974633484	0.241385091283157	5.17902634205509	2.23046975668388e-07	1.27027080897046e-05	IL_4
ADORA3	7.74994079858765	2.3911154693908	0.831605548781995	2.87530004206072	0.0040364372250459	0.036688121470325	IFN_B1a
ADORA3	7.74994079858765	2.51468719300658	0.789465162998449	3.18530482517507	0.001446016066103	NA	IFN_lambda2
ADORA3	7.74994079858765	2.27006289285506	0.800489604235244	2.83584306509987	0.00457048984532099	0.0655244348249716	IFN_y
ADORA3	7.74994079858765	2.33905413658504	0.782996629759987	2.98731060605208	0.00281443618316251	NA	IL_10
ADORA3	7.74994079858765	3.21991054484578	0.788333510301602	4.08445220553152	4.41809185217027e-05	0.00236130016837531	IL_13
ADORA3	7.74994079858765	3.0875388324183	0.772853007266007	3.99498844332711	6.46974087397225e-05	0.00177674939100234	IL_4
ADRB2	2.99067843585236	2.91488102338949	1.11661339545937	2.61046574870287	0.00904190259688152	0.0692252199635431	IFN_B1a
ADRB2	2.99067843585236	1.60692545871925	1.1327856725855	1.41856089603567	0.156027073115293	NA	IFN_lambda2
ADRB2	2.99067843585236	0.783343955655115	1.20865244976904	0.648113488542384	0.516911550440215	NA	IFN_y
ADRB2	2.99067843585236	2.71094013607731	1.07658301002957	2.51809671044581	0.0117990918702012	NA	IL_10
ADRB2	2.99067843585236	0.37103296308096	1.33881738115247	0.277134856705827	0.781676557837766	NA	IL_13
ADRB2	2.99067843585236	1.54395838779704	1.12376001752521	1.37392180155796	0.169465960506506	NA	IL_4
AIM2	2.20110136248188	5.13925353829972	1.32036746203278	3.89229035558597	9.9302298566831e-05	0.00157990125614563	IFN_B1a
AIM2	2.20110136248188	0.299806690428647	1.64025595781658	0.182780430700422	0.854970303969875	NA	IFN_lambda2
AIM2	2.20110136248188	3.00514977125616	1.36765264916297	2.19730482962568	0.0279986829679084	NA	IFN_y
AIM2	2.20110136248188	-1.71727582435752	1.74426059048928	-0.984529395275627	0.324855285592449	NA	IL_10
AIM2	2.20110136248188	-0.657738185330574	1.74426059048928	-0.377087110100947	0.70610887000663	NA	IL_13
AIM2	2.20110136248188	-1.53242042587512	1.74426059048928	-0.878550162877476	0.379645227814026	NA	IL_4
ANKFY1	32.4132891642223	2.11355374422578	0.289429158175033	7.30249072882837	2.82488780249199e-13	1.77664587900352e-11	IFN_B1a
ANKFY1	32.4132891642223	0.138141454260593	0.307112289092913	0.449807640940086	0.652849147833403	0.884339473049413	IFN_lambda2
ANKFY1	32.4132891642223	0.177175422871858	0.309670650242618	0.572141475897202	0.567226132217516	0.864663105636606	IFN_y
ANKFY1	32.4132891642223	-0.136282816635948	0.302868697353848	-0.449973265070459	0.652729718017677	0.87592311204062	IL_10
ANKFY1	32.4132891642223	0.123068163627614	0.326421417728598	0.377022330470787	0.706157010068652	0.924599988685923	IL_13
ANKFY1	32.4132891642223	0.308270488502722	0.297993358185981	1.03448778314826	0.300908185178665	0.660154742854867	IL_4
ANKRD22	32.7729081739479	4.08307622295615	0.477690187964399	8.54754048927724	1.25739186997049e-17	1.1551979621072e-15	IFN_B1a
ANKRD22	32.7729081739479	0.785253629984381	0.527940935254756	1.48738917092205	0.136912055339765	0.476600516401414	IFN_lambda2
ANKRD22	32.7729081739479	4.81205149075616	0.469148866856269	10.2569820172462	1.10093843067159e-24	7.76261678935352e-22	IFN_y
