id	Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13	P.value	Correlation	RMSE
TCGA-02-0047	0	0.11114008742233	0	0.652445766180071	0	0.153137706598869	0.00565416857725905	0	0	0	0.0532541469995967	0.0243681242218745	0.62	-0.0119985199457304	1.2029854403946
TCGA-02-0055	0.0366780852454315	0.0974747568624113	0.238687200507763	0.266322803089026	0	0	0	0	0.234124217635536	0.126712936659831	0	0	0.09	0.220863341047454	1.05046132521255
TCGA-02-2483	0	0.00768514001839825	0.154484835270913	0	0.637955996539721	0	0.00049468652264661	0	0.0614723327464391	0.137907008901882	0	0	0.82	-0.04980564259914	1.17183728036452
TCGA-02-2485	0	0.0870958968488247	0	0	0.545463855636203	0	0	0.0405111274121175	0.0852690467664584	0.241660073336396	0	0	0.73	-0.0372416211298162	1.17712916446294
TCGA-02-2486	0.282635523113497	0.0526520145302002	0	0.320042062440043	0	0	0	0.0124244498361057	0.110081595522017	0.169631373621973	0	0.0525329809361648	0.07	0.284792567653764	1.10425876828759
TCGA-06-0125	0	0.113549502405013	0	0.165339493010798	0.548998871177936	0	0	0.0194739147704314	0.133112678901589	0	0.0195255397342324	0	0.76	-0.0391235188050825	1.20098258859925
TCGA-06-0129	0	0.0109204584394782	0	0.526078326568762	0.19854012991911	0.0340071646133121	0	0.0073571853294081	0	0.223096735129929	0	0	0.72	-0.0355568628256893	1.16858934454738
TCGA-06-0130	0.059191319372207	0.0464855748755388	0.318825674611251	0	0.391633339684338	0	0	0	0.137212852613237	0.00663156379136681	0.0400196750520615	0	0.03	0.361043009367066	0.981270272679055
TCGA-06-0132	0	0.133624907002428	0	0.129230353042021	0.457430704041204	0	0	0	0.279714035914346	0	0	0	0.33	0.0535023946520029	1.13059456688748
TCGA-06-0138	0	0.0850390040591364	0	0	0.621184655906383	0	0	0.0189589148589558	0.0502340743036369	0.224583350871887	0	0	0.42	0.0295494726992193	1.15401729092285
TCGA-06-0141	0	0.296758901989107	0	0.0783180300643301	0.264902787541878	0	0	0	0.142580037377161	0.170486533359997	0	0.046953709667527	0.26	0.0728852538594971	1.20744731502191
TCGA-06-0152	0	0.0980957470144027	0.039063319365979	0	0.741573144343305	0	0.0350940501921602	0.0362999802788926	0	0.0262261194465501	0	0.02364763935871	0.57	-0.00641107296246322	1.20162855347862
TCGA-06-0156	0.063937203618849	0.154184605171494	0	0.289194226781663	0.400262587422955	0	0	0.0374646954902506	0	0	0	0.0549566815147877	0.2	0.10280877195324	1.2030413235451
TCGA-06-0157	0	0.193363571296571	0	0	0.664207969725644	0	0	0.0312555574004201	0.111172901577364	0	0	0	0.56	-0.00589589605819114	1.23637341031795
TCGA-06-0158	0	0.164756007449223	0	0.165255912356568	0.344173082620753	0	0	0.0203663085690433	0.0605042207538791	0.23887294559272	0	0.00607152265781426	0.72	-0.0347398999868722	1.21661732660399
TCGA-06-0168	0.157663829387427	0.0679128921666195	0	0.0802583457330161	0.364612140675346	0	0	0.0207698461262331	0.130056243566941	0.127850177156494	0	0.0508765251879234	0.16	0.12280396133628	1.14664071993493
TCGA-06-0171	0	0.334365348079275	0	0.421196938983307	0.0622898921161068	0	0	0	0.132838618258462	0	0.0220588069496464	0.0272503956132025	0.19	0.114047787558529	1.24537263953143
TCGA-06-0174	0	0	0	0	0.735121706062035	0	0	0	0.170658143724293	0.0942201502136718	0	0	0.9	-0.0714261802883059	1.15530167212913
TCGA-06-0178	0	0.238102974880658	0	0	0.631053258935362	0	0	0	0.0640237573646668	0.0668200088193132	0	0	0.44	0.0232097309572917	1.25209969621533
TCGA-06-0184	0	0.142355300699057	0	0.0419614964717268	0.466516465750017	0	0	0.0423715819062443	0.199354740236545	0.107440414936409	0	0	0.44	0.023052277762896	1.15133735565283
TCGA-06-0187	0	0.140407818767383	0	0.0166306005297745	0.654957551804761	0	0	0.0152456184264044	0.106560614620178	0.0661977958514994	0	0	0.35	0.0389158801850009	1.17251561258788
TCGA-06-0190	0.356832919032436	0	0	0.28717757983413	0.0551900513778203	0	0	0.00858589621379392	0.242370746801913	0	0	0.049842806739907	0.1	0.199193787152856	1.17982165782413
TCGA-06-0210	0.0774835462494769	0	0.476368973702512	0	0.200799355283968	0	0	0	0.129062883093483	0.11628524167056	0	0	0.19	0.107393306084041	1.13580830591933
TCGA-06-0211	0	0.0422837340802661	0.104147035446344	0.0908085138600733	0.347867818226051	0	0	0	0.107570329760323	0.307322568626943	0	0	0.88	-0.0592555159468141	1.16864093969209
TCGA-06-0219	0.0454815742598847	0.095866718920389	0	0	0.452224471325473	0	0	0	0.126366451133759	0.272713617160138	0	0.00734716720035696	0.31	0.0567062013622679	1.1433234066281
TCGA-06-0221	0	0.000446837413929262	0	0.51528386864804	0.214806497051578	0.0666162499570307	0.0771948783402081	0	0.125651668589214	0	0	0	0.88	-0.0617319026908653	1.15591077959814
TCGA-06-0238	0	0.138839227429243	0	0	0.706701841585836	0	0	0.0257208538700262	0.103189662024979	0.0255484150899158	0	0	0.63	-0.0140850971594465	1.20712488677763
TCGA-06-0644	0.0451037614748559	0.113160877947987	0	0.114846682908944	0.452447873793806	0	0	0.00875333117507979	0.265687472699327	0	0	0	0.2	0.100880427071804	1.11993005436223
