GeneSymbol	GSM709413	GSM709414	GSM709415	GSM709416	GSM709417	GSM709418	GSM709419	GSM709420	GSM709421	GSM709422	GSM709423	GSM709424	GSM709425	GSM709426	GSM709427	GSM709428	GSM709429	GSM709430	GSM709431	GSM709432	GSM709433	GSM709434	GSM709435	GSM709436	GSM709437	GSM709438	GSM709439	GSM709440	GSM709441	GSM709442	GSM709443	GSM709444	GSM709445	GSM709446	GSM709447	GSM709448	GSM709449	GSM709450	GSM709451	GSM709452	GSM709453	GSM709454	GSM709455	GSM709456	GSM709457	GSM709458	GSM709459	GSM709460	GSM709461	GSM709462	GSM709463	GSM709464	GSM709465	GSM709466	GSM709467	GSM709468	GSM709469	GSM709470	GSM709471	GSM709472	GSM709473	GSM709474	GSM709475	GSM709476	GSM709477	GSM709478	GSM709479	GSM709480	GSM709481	GSM709482	GSM709483	GSM709484	GSM709485	GSM709486	GSM709487	GSM709488	GSM709489	GSM709490	GSM709491	GSM709492	GSM709493	GSM709494	GSM709495	GSM709496	GSM709497	GSM709498	GSM709499	GSM709500	GSM709501	GSM709502	GSM709503	GSM709504	GSM709505	GSM709506	GSM709507	GSM709508	GSM709509	GSM709510	GSM709511	GSM709512	GSM709513	GSM709514	GSM709515	GSM709516	GSM709517	GSM709518	GSM709519	GSM709520
CDA	650.4933	1013.192	1628.355	1547.832	2106.38	880.4713	2658.523	1015.617	861.9035	1676.349	1604.752	2119.083	1198.682	1892.488	1796.622	1139.98	190.874	145.0758	392.9492	105.0661	1899.839	2325.251	830.5715	1139.922	1273.161	2557.356	938.954	2311.663	2748.717	1991.247	967.2944	5038.559	2170.617	1010.664	1859.136	2192.729	1031.365	1413.124	1518.386	1392.985	1518.372	911.4991	2788.663	1441.833	1062.85	1930.301	1669.869	1430.321	934.694	1270.137	1284.509	2852.483	3282.166	1358.816	1140.776	1482.016	1955.834	2483.738	2930.396	2604.476	2019.118	1875.564	2040.528	764.0612	1104.267	2112.201	1209.806	719.6856	1245.264	1475.709	1172.386	1524.916	1247.432	2039.95	1528.24	1390.13	1123.339	2863.159	1183.648	1441.862	1262.271	1014.761	1567.073	1409.418	1225.9	1546.01	1721.713	1126.563	2276.899	1956.192	1821.585	1563.913	3016.326	2837.475	2046.703	1437.409	1965.515	1763.747	1513.272	2031.996	1520.536	2120.066	1789.918	576.662	1328.123	1595.775	1463.972	788.6503
CDC14B	52.0503366666667	63.9155483333333	108.313854333333	43.4905643333333	45.5777673333333	53.5117966666667	57.8384196666667	33.5714416666667	58.4194843333333	57.9577256666667	97.042696	60.3735266666667	61.7404466666667	115.186216666667	64.8223933333333	42.508854	6.32716933333333	4.623484	15.2216046666667	4.179319	47.672588	77.688195	55.6704093333333	27.805961	112.083067333333	74.1558886666667	79.3205073333333	69.1664916666667	87.81085	85.355997	137.999700666667	57.7448716666667	75.2122666666667	82.2826483333333	32.2916506666667	49.92964	74.9922266666667	37.917216	145.801956666667	23.8400566666667	39.9121733333333	39.1417133333333	58.9231466666667	130.57306	71.4861166666667	65.4078736666667	36.358169	92.1984033333333	39.610469	71.850249	102.786667	21.512655	63.2943386666667	53.3999206666667	39.1932713333333	62.1397223333333	34.6782193333333	97.0442686666667	97.7213013333333	61.0414196666667	74.1666953333333	58.2785743333333	28.6148096666667	47.0959773333333	77.6948843333333	111.396132666667	130.814230333333	23.2312456666667	13.5630736666667	74.802194	100.600586666667	59.0608396666667	24.204148	43.5878333333333	158.957317666667	71.740103	145.284735333333	54.9876633333333	62.7815916666667	74.4761106666667	124.280254	116.325440333333	53.160293	78.790245	59.8606783333333	93.653241	73.1478123333333	26.102924	57.8771253333333	37.6225843333333	72.2235803333333	37.2599623333333	164.682787666667	36.0701563333333	59.214507	69.476152	58.92008	53.9032113333333	65.1778963333333	80.963275	62.0215893333333	81.156222	71.840495	36.5329963333333	76.5375163333333	120.237002	78.8776576666667	55.899616
CDC25A	24.288055	23.974169	15.865272	22.527963	11.364138	43.3419815	15.4745065	12.1198115	12.770142	24.691536	13.7946615	8.486262	21.9944045	26.608075	17.391767	12.635644	1.63126555	1.18054895	1.8708697	1.1231266	27.2956685	34.7755975	27.5199675	30.4040905	34.97996	83.30789	28.94748	25.535588	27.212915	30.66944	23.16266	23.70172	62.933905	42.756015	32.55402	31.12498	22.948282	9.6533205	16.9546115	15.515821	13.0840715	14.1343065	15.365279	36.455136	23.1844015	19.4842075	21.797842	29.668523	27.1005665	50.991225	24.2668	20.8707935	23.8265925	39.276355	43.57453	22.7049705	31.017745	37.855405	61.24105	40.15837	30.7475375	15.121436	28.58458	35.44232	19.445563	14.050603	18.055934	15.1404435	11.722362	27.253203	27.9863185	20.158025	32.433608	17.42737	17.928753	20.73841	25.16665	46.61477	20.5297835	26.142052	21.775938	22.729825	22.153895	19.180345	30.650545	20.438515	28.90155	17.40781	30.434625	26.989815	22.20857	15.1659595	31.449155	18.90242	27.89484	13.093608	27.986845	28.542065	18.668525	27.54819	33.59018	18.858441	21.7248935	30.515011	43.956727	11.298251	10.8615485	15.035796
CDC42EP4	489.34923	1703.153185	1928.548645	1569.6001	535.99405	616.13398	952.72194	584.38667	2594.6143	518.7463	588.9644	722.602755	348.152895	925.2085	590.020635	584.81635	201.9713395	113.330324	114.71068	148.148	3103.86947	594.54955	636.11221	853.7232	1120.36479	516.589495	949.90771	761.822045	1825.66265	3461.99549	1160.2566	1534.315	2058.5146	702.87036	2977.03391	2319.390825	460.186795	1436.117915	713.70827	2052.29585	813.25102	1237.10775	501.2271	625.437295	3080.79895	3248.52755	5996.9325	1973.8854	1050.119575	536.960205	698.256595	2238.247	1053.337395	753.911785	1615.91529	1714.40822	2206.11287	2043.31325	1515.07215	757.6537	891.304695	958.985835	838.355285	448.3176	616.70613	350.23502	304.826775	513.42969	1090.76726	486.178635	495.988195	317.535025	687.7415	558.46968	486.62455	876.7617	1237.30107	905.48653	716.4339	556.551275	1107.69399	437.423775	891.43521	437.366275	1037.284	1181.4261	565.04353	742.09699	615.42894	812.008825	1199.46821	854.98322	482.0051	414.267525	786.3665	1000.25785	862.98467	1417.566735	1445.21213	1182.133035	481.696935	662.918985	1170.060145	585.81451	464.539195	336.697465	492.09833	364.660705
CDH12	10.653945	14.805179	20.845111	7.9414555	6.885877	4.8782035	21.79613	10.38935	7.3685945	5.881706	6.985332	12.903645	6.8538235	13.9528495	11.433614	10.91642	1.22596785	1.29868445	1.1103353	1.3872283	14.451414	3.999821	8.3434415	3.830818	11.5874745	9.7379455	7.306613	5.365239	5.0239905	7.046039	7.6621845	4.333342	6.6928085	8.410474	6.622877	7.1628335	12.6095525	17.6626645	6.22035	22.88799	12.0672315	12.158104	7.726357	13.2484785	18.6246195	13.1677665	15.948591	14.5219555	2.192336	2.8310335	5.660692	4.5140275	6.6763625	7.4526055	9.3796145	9.2853765	6.0080065	13.46498	7.956208	6.045837	4.828444	4.814677	3.1774065	3.654571	4.0722955	3.486129	3.6341335	5.1684115	5.3494925	2.8535885	2.9798655	2.6438085	4.039727	5.2950545	3.576729	4.732128	6.323238	13.4596685	4.252834	2.6973605	6.1164155	7.81853	5.8062905	3.616954	4.17081	5.389554	3.2077665	4.2783385	3.989349	5.413404	5.396626	5.272861	6.122303	3.5589645	4.604138	5.764585	15.085665	4.85515	7.274991	4.697103	2.4255345	9.605442	6.7061365	2.3945495	2.009177	1.9353455	3.352012	1.930404
CDK2AP2	652.8266	689.0599	881.1822	682.8543	535.8976	1022.913	671.7117	352.0361	205.8355	566.3116	822.3021	326.4052	546.5932	1263.412	710.8447	408.2195	75.68838	47.62028	159.7839	59.0972	615.4131	776.1363	804.0781	688.5474	2409.171	2245.649	381.5855	1140.166	1116.944	953.7419	744.8381	1376.985	1050.249	1153.553	327.9578	882.8407	562.2228	291.9592	595.8253	199.5971	454.3951	364.6939	541.7073	1384.798	753.5199	562.8936	259.9952	1059.681	422.8904	915.6731	966.8173	343.805	890.7916	684.6989	893.1471	776.1344	444.6152	1168.905	1058.88	1637.97	979.3019	962.0455	827.9382	857.0735	860.8811	982.8019	653.0392	543.3497	468.0861	700.6239	943.436	855.8086	652.0657	980.946	814.234	422.403	1211.916	790.6783	1038.122	1274.329	976.1838	1037.278	919.1206	671.0725	1064.097	1512.889	1407.043	620.1317	759.3679	708.9163	633.1764	800.3506	720.7559	556.4973	651.8691	458.0451	862.0642	604.8318	532.2125	867.9433	1219.013	846.8113	957.7633	848.3112	1666.886	1432.178	1327.649	824.8478
CDK6	263.358825	276.74603	268.53433	202.916385	464.997595	353.636875	177.429745	166.63137	75.870798	245.42243	186.684225	50.0765755	105.7041315	478.286575	678.559555	315.14658	19.6550495	8.4021955	41.668919	14.404127	47.553875	74.39506	241.96837	119.52753	265.21567	223.68643	61.4545	179.030595	242.2515	254.70131	215.265385	369.714545	285.73034	327.61286	174.36889	235.68938	424.09662	121.5659145	175.77337	80.28825	105.700484	132.9373505	256.23568	293.32038	228.34385	149.55979	53.8752775	303.84636	468.716105	272.15794	264.437745	114.56512	232.383055	229.216185	272.135875	276.884735	149.450275	357.119585	330.54069	304.670635	361.617565	309.96953	186.369305	316.434205	239.77671	195.32739	235.61685	189.78464	101.757875	344.56911	295.51325	186.172175	126.314345	179.877735	177.53767	76.13005	358.246455	257.73252	474.299805	556.391845	281.096745	400.948225	321.0897	237.32612	465.54297	418.66774	591.067175	278.41942	227.086905	183.97804	218.356765	287.256445	331.837725	149.89034	301.8184	232.3748245	238.65649	173.73835	253.146515	538.999715	403.776685	428.646985	245.36246	428.683375	419.096905	302.07993	371.406325	553.211425
CDKN1C	3355.992	6596.316	17993.17	12401.64	1284.542	8376.874	7298.375	1357.524	1597.828	2586.82	9394.342	1882.201	4504.739	15616.57	5387.427	2517.456	255.33	721.8452	945.5964	565.1891	3481.417	1392.631	2981.314	1389.007	13327.95	1984.576	232.8268	5387.9	10077.98	8213.946	6060.42	9583.35	21994.62	7887.279	1665.896	5668.715	6889.894	1507.004	2372.629	1097.143	5057.252	2177.004	1435.41	4951.188	3875.293	5726.553	766.2685	5924.166	1495.531	6890.496	3104.357	847.9946	4763.539	976.071	8341.041	5030.461	2395.57	12657.33	5790.192	15046.13	5894.599	4518.515	1164.213	1644.247	10839.24	11519.17	2222.601	4580.699	1843.055	5108.129	8479.824	7167.551	5348.149	7606.256	10643.56	894.5948	10100.31	3718.415	9885.186	5640.235	9436.507	16489.78	10504.57	6298.708	14457.65	6908.9	13869.49	2279.422	2875.337	6721.237	2011.98	5323.618	6684.054	1452.642	2219.831	1793.238	6470.526	4614.098	4763.361	9109.427	10671.66	6212.538	4051.515	8308.314	8155.345	13221.84	7462.567	2368.002
CDR2L	138.2049	221.2638	276.0181	241.7022	81.6411	149.6253	124.2574	112.2544	131.9679	77.37143	113.7566	75.49346	116.3085	193.688	154.6851	147.2336	17.38959	15.67414	17.9996	16.73249	426.4144	99.65063	165.9409	197.8693	278.7523	222.3177	241.0261	195.9401	199.9992	255.3727	164.6251	170.5581	241.7585	179.8758	219.7025	249.9119	84.66356	121.4136	171.2374	137.3801	132.3283	147.8791	74.8313	152.0952	274.0228	178.1448	247.4297	295.9649	91.05803	126.2887	201.6919	182.4922	205.0619	158.7283	231.6159	265.4179	164.5801	225.1499	226.644	136.0174	180.5694	169.0762	135.1198	113.3649	152.9178	100.9093	74.05364	59.89665	118.4752	86.77721	124.1672	83.83909	93.39267	115.0416	111.6547	157.6948	213.2326	123.8001	162.6985	152.4401	182.0767	165.2746	133.2478	95.52445	146.9437	204.9754	113.6873	98.83135	101.8623	120.1729	127.7148	113.4435	83.75643	83.4443	111.593	216.9641	253.8578	161.1352	234.3649	152.5947	126.8637	165.9686	183.735	105.8325	87.47928	103.6096	100.5421	73.1879
CEACAM1	224.184836666667	276.650833333333	348.406166666667	407.8211	1504.72663333333	243.361686666667	291.323253333333	250.959146666667	275.089166666667	756.4321	525.144433333333	898.8225	178.5003	561.077733333333	786.461866666667	458.441566666667	22.6137406666667	23.2872266666667	124.935316666667	16.281675	108.011366666667	493.2446	255.37601	158.30207	279.932466666667	448.7497	250.930533333333	228.616933333333	409.2946	377.533366666667	272.4723	844.3781	687.3028	464.774666666667	609.604433333333	530.19	298.1426	360.537866666667	130.674606666667	252.783866666667	205.1796	407.7076	1733.33623333333	533.743066666667	169.662966666667	951.916433333333	285.7724	271.039666666667	974.5652	354.421333333333	169.916553333333	535.0713	374.198333333333	1598.49486666667	237.75791	546.0553	541.345233333333	648.031866666667	1394.29336666667	398.4244	1049.38553333333	625.563133333333	1480.25193333333	285.009603333333	275.393966666667	442.634133333333	1096.82386666667	334.56285	318.514953333333	2399.4721	721.8987	430.791633333333	543.3118	191.79711	814.648966666667	190.528836666667	173.480716666667	727.618533333333	236.37649	319.53101	172.158283333333	216.368583333333	554.8417	297.409626666667	682.0351	181.295496666667	530.674433333333	363.100233333333	587.2834	640.677333333333	678.862066666667	840.632266666667	1452.64673333333	2369.86713333333	2037.875	811.123033333333	222.005066666667	370.065666666667	245.847366666667	554.5031	261.38178	370.358533333333	312.466	330.968976666667	632.460866666667	184.39181	243.966236666667	280.377293333333
