GeneSymbol	GSM1008060	GSM1008061	GSM1008062	GSM1008063	GSM1008064	GSM1008065	GSM1008066	GSM1008067	GSM1008068	GSM1008069	GSM1008070	GSM1008071	GSM1008072	GSM1008073	GSM1008074	GSM1008075	GSM1008076	GSM1008077	GSM1008078	GSM1008079	GSM1008080	GSM1008081	GSM1008082	GSM1008083	GSM1008084	GSM1008085	GSM1008086
SELL	6114.1883	6441.75069	6339.42698	5910.34212	6347.93266	5896.48133	6702.43382	7188.26275	5236.51001	6286.25819	5667.78981	6173.80094	5790.53087	5842.45887	6364.73382	5421.68973	4912.64987	6033.74084	6739.57055	6545.21699	6607.56591	6134.08162	5494.15871	7369.41941	5872.31854	5837.83956	7483.7664
SEMA3C	44.37602	41.60836	63.34895	67.83367	57.95205	43.20839	68.12185	93.8493	48.05151	54.37306	43.26858	50.81863	74.53911	37.58524	53.46638	56.71443	55.51024	67.45873	52.88738	50.17337	60.26289	63.52468	47.75932	53.77711	46.62808	50.95174	68.49394
SEMA4B	533.7827	590.4065	611.70264	346.44721	456.05926	347.60948	520.7971	368.09717	376.22636	656.61598	453.79948	536.87702	372.35569	404.69649	472.18406	405.56844	421.39997	361.76406	747.81847	583.14392	650.19285	393.17384	371.08172	498.54887	439.12121	360.35957	653.05605
SEPT5	164.38324	73.551735	72.04826	123.361315	121.84643	98.832355	118.34783	65.85704	117.797355	107.515535	122.32284	108.34572	103.409005	92.459565	106.954025	134.814515	100.93826	107.19138	274.074165	127.00865	104.85354	70.688035	149.84053	156.51838	163.51222	126.32255	129.028155
SEPT8	185.57395	181.45465	195.19653	221.20151	225.60174	204.14049	214.91394	221.04039	221.42784	214.70459	209.65956	204.64119	222.96824	198.38075	203.8957	232.22674	232.07484	207.61144	173.74323	187.4366	186.00686	239.05227	192.88449	202.3524	178.23246	168.97408	174.61509
SEPW1	265.9482	268.88705	306.24436	645.3652	329.94051	354.75671	284.82157	319.10197	371.08677	248.24132	328.19454	218.80131	569.75741	367.37688	329.79579	400.0064	326.18988	362.07174	224.85725	245.29284	223.28428	344.29175	392.41531	322.19951	347.83858	430.90145	261.19101
SERGEF	130.23123	150.87537	161.61555	154.46822	187.0062	138.01984	155.86856	124.87269	137.24035	166.21714	164.02883	160.00695	152.28749	125.04994	169.17433	138.73278	136.98224	145.52773	159.32399	146.51691	141.09053	208.61036	164.95696	123.89845	137.06787	106.41556	134.93327
SERPINF2	84.35955	72.60105	71.29567	63.54909	60.69429	79.56172	54.82521	60.94122	68.77686	61.20342	74.76496	71.5802	60.65259	69.90782	74.31215	73.59465	75.69914	60.88221	82.8571	87.53274	64.47833	54.34397	75.39336	67.58546	70.73632	75.87867	73.54924
SETBP1	141.99751	184.96818	204.76092	174.20759	236.62994	162.55366	206.38463	130.0199	155.9457	193.84767	220.99507	165.3786	184.00945	130.22826	191.36637	156.98046	186.76138	144.33268	209.01402	168.28819	157.41504	260.7196	172.39684	141.09817	157.02458	108.4107	94.59107
SF3A3	370.74231	432.72607	507.82377	793.19152	760.28421	571.30842	594.9847	629.46211	637.91759	401.62483	459.87485	418.90621	541.82002	397.31611	521.48308	467.28759	558.96729	630.29511	449.99189	341.86861	397.85248	811.29248	580.06399	430.39971	461.45664	401.49908	509.63417
