GeneSymbol	GSM2712676	GSM2712677	GSM2712678	GSM2712679	GSM2712680	GSM2712681	GSM2712682	GSM2712683	GSM2712684	GSM2712685	GSM2712686	GSM2712687	GSM2712688	GSM2712689	GSM2712690	GSM2712691	GSM2712692	GSM2712693	GSM2712694	GSM2712695	GSM2712696	GSM2712697	GSM2712698	GSM2712699	GSM2712700	GSM2712701	GSM2712702	GSM2712703	GSM2712704	GSM2712705	GSM2712706	GSM2712707	GSM2712708	GSM2712709	GSM2712710	GSM2712711	GSM2712712	GSM2712713	GSM2712714	GSM2712715	GSM2712716	GSM2712717	GSM2712718	GSM2712719
ABCA5	381.043230402016	599.656221053647	559.753142796875	529.09958252238	651.819133733393	506.329774817178	686.863509942756	312.301724520928	585.200687846705	596.216178242676	530.864712965611	572.334096895773	635.554016255918	411.072070112606	672.043674411577	475.455600626663	680.121711257472	722.034675249737	655.414756175272	466.101755670233	430.740049048942	399.084086196659	560.943067400867	507.632460702103	572.615504569772	244.072253022474	185.920520105225	306.36423603737	828.007332116578	682.58003620164	690.953097404362	819.259086743957	720.895272173754	974.650278946299	831.342738982315	648.797285379773	540.870019723894	947.690461205327	606.247364232371	1017.39270393574	753.964606997795	659.012905195621	550.40616686887	742.067227613338
ABCB1	265.526966869615	305.166296470921	334.861172151051	284.429255344401	377.267922764689	296.623710042761	390.588126319736	265.57941927764	424.344512266582	145.543135588148	199.993354469039	269.023400384188	806.374858569762	452.051217288941	190.328158417314	339.45057066017	515.217829005346	511.540517998714	562.164689239766	255.500733039417	583.676965340476	65.7988099105603	258.248379390836	618.46326748612	143.153876142443	94.9169872865177	66.9313872378809	96.5713352726493	479.328867637335	449.840482078978	413.376142328444	548.662873695801	642.096113635281	616.312576679603	398.8425691069	638.298947428644	475.310017333119	858.688727433227	817.009870723894	877.636388104827	537.241300360763	625.572893917131	383.052940456038	518.292090881689
ABCB4	7.21976647077504	18.6836508043421	138.699893790376	23.447573021223	62.3980024928874	31.7318387487605	180.051599693732	18.4430152276139	66.1187960973512	48.5143785293826	29.4107874219175	42.1997490798727	43.9612461837098	131.901629973827	26.9491197759028	52.8284000696292	152.941942606894	104.849919838246	77.2643411751337	78.0399728530435	151.968961125132	57.2163564439655	26.8210483046863	15.0510972175826	14.8345985639837	47.4584936432589	24.7894026806966	56.6107827460358	196.39168882363	111.310221536925	78.5756303599522	257.315417315731	62.4151750799787	88.3475597304477	144.727683304614	89.2358725845965	60.6430022114669	153.082982088013	65.9141429568082	104.817236873183	88.8482521462159	52.1990419956928	27.8922044021387	118.38426588384
ABCB9	186.10953569109	46.2642781821805	42.6006816641869	75.4400175465435	50.8783712634313	41.3893548896876	112.413168062753	27.049755667167	48.3555374443315	75.3249561377257	47.057259875068	42.1997490798727	25.120712104977	62.7493191137623	45.476639621836	97.78874055442	71.7716378713915	82.6090277513451	125.221518456251	54.521076924729	61.9491306497354	231.72624359806	55.9410436069171	73.887204522678	48.2124453329471	77.2895467904501	99.1576107227865	111.556542470129	72.3986310493892	65.3142622241461	102.489952643416	47.3128347967635	59.2944163259798	67.8509258729838	78.2539217867969	40.9435180094031	63.9210023310057	149.522912737129	39.8739877146123	62.3912124245138	72.2411022123438	54.6458720892409	62.2925898314431	64.966975180156
ABHD5	1995.0621347575	2123.70830809355	4382.91664377588	2964.58879763985	2288.56673758529	2922.08845521194	2449.27334821474	3757.4569690392	2062.51169915618	4173.51324769873	4485.14508184242	4326.7930228457	3133.80883509588	2874.94329408972	3594.33885011104	2162.59237731844	1527.71057754819	1788.80317784643	2515.08751963194	2194.74060640135	2361.81060602116	3149.7604222403	2761.80165971684	1913.54176898084	2228.89843423856	3023.78402355621	1703.03196416386	2152.8747673713	1615.23842375706	2898.66535589133	4057.74804174057	1752.2349869468	1831.88538859738	1788.8613894221	1523.00643477529	3317.47479255677	3150.97761490663	1802.81911928767	2359.07531397268	2424.10657340044	2469.48319516679	2540.62524713411	2506.57943560553	1378.74358437887
ACAP1	6675.07520036879	5170.03308685867	7121.24883260873	7172.91842510109	9255.06372359889	5835.89903944595	7076.31366415366	7024.32973302387	6141.1532554301	8248.72104416687	4713.07868436228	8517.75560334055	5681.04904254055	6155.83626489501	9081.85336447925	8699.82588380702	6244.13249481106	5933.55228175527	6769.06676364217	7176.47038030796	7776.5518068746	11469.0186491929	5375.70439592497	4386.02655736008	7313.45709204398	17566.422432812	26142.9040670626	17541.0175361614	7077.59031120753	6404.47737471134	7676.49745299185	7779.22610026785	7695.01089767288	7020.45048642029	6802.20111531684	6567.76022222631	7400.08526985874	5842.78581867086	6892.50359066871	6747.40165300308	6960.05653728581	8214.82423407215	8366.73158049487	5972.63058489568
ACHE	17.6483180396723	2.66909297204887	11.8885623248894	4.07783878629965	16.3194775750629	102.093742061229	15.2424634661361	17.2134808791063	40.4607558207672	33.1940484674723	149.995015851779	228.142393463062	25.120712104977	46.1015405733764	109.480799089605	359.682723878326	15.3796366867268	4.76590544719298	10.657150506915	36.347384616486	94.8596063074073	25.7473603997845	15.3263133169636	2.73656313046956	18.5432482049797	9.49169872865177	54.5366858975325	73.2610129654581	22.4685406705001	43.2362017540122	3.41633175478053	68.0640781286773	8.58208657349708	5.65424382274865	38.706240883792	48.2923545751934	9.83400035861626	7.12013870176805	22.7851358369213	13.3101253172296	7.47321747024246	6.5248802494616	10.2271416141175	7.21855279779511
ACP5	1052.48151218409	1489.35387840327	858.948627973257	1463.94412428157	935.01006812419	1094.05861425074	1024.10301413102	991.004684897119	1135.86170609032	990.714677336867	1298.48626467766	1330.61083817474	553.911701914743	1061.61603153692	1485.57022764664	1044.20390775927	1248.31384440599	1065.17986744763	880.103012696063	873.406271519679	1276.73286448439	1560.57612200916	1248.32821966668	1144.56752931889	635.662548466703	1635.28409525058	1886.47354400101	3215.15945537045	1014.41300286443	1053.30746826264	954.010642522463	752.855108081833	712.313185600257	689.817746375335	780.856337829543	686.591302003837	812.124529615726	552.522763257201	881.296503978065	590.636810952064	801.29498430933	596.210932794554	815.382108689188	812.08718975195
ACPP	808.613844726805	927.954656615659	902.540023164518	1502.68359275142	773.735230911804	858.139291379523	793.560754205708	1669.70764527331	1109.21681811079	1376.27631722828	1614.65222946327	1127.52454572785	725.988579833836	954.045770199039	953.325112072563	898.082801183696	908.252988777252	524.249599191228	715.805275714457	1076.52400908239	1106.37275519762	549.277021862068	1784.74918576041	1072.73274714407	1632.54757196641	669.842738850568	515.61957575849	519.487182845976	229.67841574289	870.243550197778	879.705426855987	870.722170207103	759.904756598741	713.848282622017	658.006095024464	875.561385124159	474.490517303235	624.436164145058	1069.27387463267	409.28635350481	812.919989263041	925.717385392364	1237.48413530822	628.014093408175
ACSM3	67.3844870605671	71.17581258797	53.4985304620022	32.6227102903972	113.276373756319	45.5282903786564	152.424634661361	40.5746335007505	59.2108621767324	40.8542134984275	63.2331929571227	71.2120765722852	89.1785279726684	66.5911141615437	109.480799089605	51.7043915575094	80.3158804751286	123.119224052485	55.0619442857274	66.2805248888863	50.33366865291	25.7473603997845	48.2778869484353	64.3092335660346	71.9478030353211	31.1870101084273	17.3525818764876	133.201841755378	57.4196039357225	76.3532924592131	55.5153910151836	41.5024866638276	69.4368822764764	62.9034625280787	54.6936012488365	54.5913573458708	49.1700017930813	65.505276056266	52.8940653357103	56.5680325982258	109.607189563556	54.6458720892409	65.0818102716569	73.6292385375101
ADAM19	4370.36530364249	4557.03140094478	7257.96729934496	7001.6491960765	7247.76798186616	4268.62213428978	6652.38264900175	6477.18694793799	4442.78835866082	7519.72867205431	5888.03964186789	8406.98126200589	4685.01280757821	6378.66037766633	5588.57371352785	5218.77152177209	3909.84541547009	3874.6811285679	5958.23522924106	4841.68543906074	8189.8686629283	3899.29469165625	6484.56316440729	4507.11947588336	7337.93417967455	5323.48702981241	2997.03878409622	5203.19694356947	5779.40796135641	7264.60181386031	11663.3566108207	8183.46032037353	5696.94510542506	5281.77051092508	5662.0498892834	6218.16556845371	6097.08022234208	6200.21678149962	5088.40908529533	4262.56763284278	4955.57354026744	7242.61707690237	6986.067462589	4404.76091721458
ADAM28	186.911731965621	386.128783289737	562.725283378097	232.43681081908	420.466539875149	448.384677971616	839.288144604117	165.987137048525	307.896483319009	390.668416578713	608.803299633693	506.396988958472	481.06163681031	655.666354821353	476.662556036281	473.207583602423	687.811529600836	553.639349448918	639.429030414899	419.063963813604	529.471476021957	439.135535707435	260.547326388381	320.862027047555	219.552058746959	336.27732638652	136.341714743831	351.31985762981	1035.21720718897	893.241529854167	594.441725331812	816.768937544127	440.80717400235	739.292379824386	750.564497137879	734.88365657903	649.863523698558	927.754072840377	574.510925030945	426.755892983674	581.250247685525	410.251845684898	398.858522950583	768.0540176854
ADAMDEC1	16.0439254906112	34.6982086366354	5.94428116244469	13.2529760554739	21.1193239206696	15.1760967928855	14.2898094995026	19.6725495761215	18.7501063559653	12.7669417182586	45.5867205039722	23.7373588574284	11.3043204472397	12.8059834926046	26.9491197759028	28.1002128029942	16.2340609471005	43.687466599269	46.180985529965	14.9665701362001	17.4231929952381	4.29122673329741	16.8589446486599	86.201738609791	13.3511387075854	8.13574176741581	4.95788053613932	13.3201841755378	9.15384990279633	22.0780604701339	9.39491232564646	3.32019893310621	16.3839834584944	7.06780477843581	9.25584021134156	11.5481717462419	20.4875007471172	48.4169431720227	20.3438712829655	27.4521334667861	13.2857199470977	27.7307410602118	11.1568817608555	15.8808161551492
ADAMTS3	0.80219627453056	3.5587906293985	0.990713527074114	5.09729848287456	2.87990780736404	2.75929032597917	2.85796189990051	4.91813739403037	0	1.27669417182586	0	7.91245295247613	1.25603560524885	0	1.68431998599393	1.12400851211977	0.854424260373709	0	0.888095875576249	0	3.87182066560846	0	2.29894699754454	0	0.741729928199186	0	0	0	0	0	1.70816587739027	0	0	1.41356095568716	0	0	0	0.712013870176805	1.62750970263724	0	2.49107249008082	0	2.78922044021387	0
ADAMTS5	49.7361690208947	12.4557672028947	35.6656869746681	22.4281133246481	22.0792931897909	38.6300645637084	54.3012760981097	12.2953434850759	50.3292328502226	72.771567794074	80.8796654102732	26.3748431749204	36.4250325522167	70.4329092093251	77.4787193557206	21.3561617302756	16.2340609471005	28.5954326831579	25.7547803917112	14.9665701362001	53.2375341521164	22.8865425775862	19.9242073120526	36.2594614787216	89.0075913839024	31.1870101084273	22.310462412627	29.9704143949601	51.5944267248521	59.7947471066126	73.4511327277814	49.8029839965931	63.9755544569782	21.2034143353074	30.2918406916633	24.1461772875967	25.4045009264253	51.9770125229068	103.346866117465	64.8868609214943	37.3660873512123	74.2205128376257	21.384023374973	75.0729490970692
