Macs	DCs	Monos	PMNS	all
AXL	ZNF618	CA13	LAMP3	TNFSF10:Macs
CXCL11	CHRNB1	C22orf39	GNB4	ETV7:DCs
TMEM229B	FAM111A	IL4I1	ZBP1	IFIT2:Macs
SMAD3	CD2AP	SPATS2L	MAP2K6	CXCL10:Macs
ARHGAP23	RAD9A	DENND6B	FCGR1B	ETV7:Macs
IL15RA	EPHB2	TRADD	SCARB2	TNFSF10:DCs
PDGFRL	SMCHD1	LOC101927284	CISH	IFI44L:Macs
FAM69A	MAML2	ARHGEF11	CNDP2	IFI44L:DCs
RGS3	SLFN5	CMC2	TRIM26	CXCL10:DCs
SDS	LRRC3	LINC01506	CD274	GBP4:Macs
