Macs	DCs	Monos	PMNS	all
HAPLN3	GCH1	SLAMF8	P2RY14	GBP5:Macs
RARRES3	HCAR2	NA	CISH	CXCL10:Mono
SP140	XRN1	NA	NFXL1	CXCL10:PMNs
VAMP5	NA	NA	CNDP2	ETV7:Macs
IL27	NA	NA	HLX	GBP1:Macs
APOL4	NA	NA	STEAP4	GBP5:DCs
CIITA	NA	NA	IRG1	GBP4:Macs
IFIT2	NA	NA	KIAA0040	ETV7:DCs
RBM28	NA	NA	NUCB1	GBP1:DCs
APOL2	NA	NA	SORT1	GBP4:DCs
