gene	Buffer_scaled	IFN_B1a_scaled	IFN_lambda2_scaled	IFN_y_scaled	IL_10_scaled	IL_13_scaled	IL_4_scaled	cellType	cluster
GBP2	-0.55017160759852	1.1760904048051	-0.545418132620948	1.71280954043609	-0.519070300002402	-0.665820619756623	-0.608419285262691	Macs	1
FAM26F	-0.624529387488571	1.31376682151649	-0.587716155580933	1.60234548449572	-0.539222513390346	-0.549922906604414	-0.61472134294794	Macs	1
ANKRD22	-0.555419441070967	0.867282680939671	-0.535286985312278	1.91880943762513	-0.479581555329333	-0.638560374420795	-0.577243762431431	Macs	1
PDCD1LG2	-0.914558253110529	1.29125895855773	-0.683142591141949	1.57594475501377	-0.499328061654926	-0.389252892280506	-0.380921915383581	Macs	1
VAMP5	-0.656464604967192	1.1277535504599	-0.622741990304051	1.74589019617005	-0.627658514426163	-0.482994898906403	-0.483783738026142	Macs	1
GBP1	-0.592106419398401	1.45291626914626	-0.5743757059669	1.47464480803669	-0.578713829308858	-0.596483683157888	-0.585881439350896	Macs	1
PSMB8-AS1	-0.775754605449099	1.29038883291673	-0.20220740091915	1.57104229123301	-0.792302875421173	-0.523514959213598	-0.567651283146713	Macs	1
APOL3	-0.572778562110909	1.20978230000511	-0.54820535152457	1.68928380533633	-0.579392526921537	-0.596306207234712	-0.602383457549717	Macs	1
GBP5	-0.576740600312158	0.940251885806267	-0.553040813398014	1.87803604155136	-0.566825843799787	-0.565732000551112	-0.555948669296551	Macs	1
P2RY13	-1.15223127331558	0.665093627678226	-0.597996515946888	1.86848313258693	-0.541579416662777	0.0503606404522751	-0.29213019479219	Macs	1
TIFA	-0.605706854343032	-0.51651861331536	-0.702013242200441	2.17280411888313	-0.340427645336984	-0.1391675571365	0.131029793449182	Macs	1
IRF1	-0.585245671382329	0.629425300881992	-0.522380430699274	2.04213679434639	-0.559592521873855	-0.484698915950483	-0.519644555322438	Macs	1
CIITA	-0.642707694985897	-0.323106510758005	-0.282800545664707	2.24200312203724	-0.490446250586908	-0.318411111141064	-0.184531008900654	Macs	1
APOL4	-0.467250399901653	-0.415753081376189	-0.0963746835166956	2.23599539700938	-0.507930064644311	-0.549848221951755	-0.198838945618778	Macs	1
PRR5L	-0.279012870545322	0.0863467293175312	-0.238837305299065	2.1938105234255	-0.525458398557483	-0.662266864984462	-0.574581813356703	Macs	1
RARRES3	-0.478757008912363	-0.0541651036259472	-0.479396012131352	2.2415046073649	-0.463898354133094	-0.329447335742164	-0.435840792819982	Macs	1
HAPLN3	-0.563702841530748	0.596029123872806	-0.549794415615169	2.05480868883228	-0.413777713815389	-0.555992782026601	-0.567570059717176	Macs	1
PARP8	-1.32112271201687	1.41260917407385	-0.453923135262601	1.31463329606869	-0.224261243536949	-0.294595066581419	-0.433340312744705	Macs	1
RMI2	-1.02591505934362	1.45976187274345	-0.72746750961985	1.23800558289663	-0.761080786551215	-0.373327931921588	0.190023831796196	Macs	1
ZNF575	-1.18905585344124	1.42845310669401	-0.166690970963095	1.32305651441415	-0.642756512434573	-0.188409664194166	-0.564596620075082	Macs	1
LOC100419583	-0.601861195277302	1.73962960507457	-0.596280541360143	1.13320138872778	-0.403946449040272	-0.610981944703167	-0.65976086342147	Macs	2
STAT1	-0.586097283121109	1.768727744592	-0.515552272970284	1.10226764438249	-0.548491981627706	-0.585743760932323	-0.635110090323066	Macs	2
GIMAP4	-0.729680967994386	1.8559499333168	-0.329285865081318	0.942477125625712	-0.688186997032646	-0.533827248750205	-0.517445980083961	Macs	2
IRF9	-0.653942781599734	1.83369389793448	-0.364022502812898	0.987347154142072	-0.536660540862842	-0.712738872251439	-0.553676354549643	Macs	2
GIMAP2	-0.782358987746977	1.94005062895841	-0.313040685720894	0.788535596501466	-0.484461573816567	-0.644532137997213	-0.504192840178226	Macs	2
BRSK1	-0.839717932303281	1.69019592449027	0.31214778055183	0.916948016930608	-0.496414703899996	-0.802931297663354	-0.780227788106076	Macs	2
APOL2	-0.546427296788997	1.83780456761941	-0.630407436034898	1.0009207937245	-0.566877424057569	-0.504155495190824	-0.590857709271613	Macs	2
SECTM1	-0.667735863014563	1.6611216409616	-0.644792647015093	1.22580752297807	-0.34260982943635	-0.630147732814895	-0.601643091658768	Macs	2
CASP7	-0.813043335926042	1.76408238192843	-0.487422316986163	1.0881737942594	-0.55667800393739	-0.508876571664738	-0.486235947673495	Macs	2
PSMB9	-0.531041081612333	1.8159728631229	-0.534461117793735	1.03462754671628	-0.561274356122103	-0.601100656343082	-0.622723197967922	Macs	2
TAP1	-0.604413289993994	1.79717630822179	-0.522009138621302	1.0630355120317	-0.589422771688156	-0.565213116729197	-0.579153503220848	Macs	2
BANF1	-1.17507415736071	1.45384812606242	0.367642438868046	0.810102034874165	-0.727472139417112	-1.04243542890521	0.3133891258784	Macs	2
DAPP1	-0.759357057129477	1.92323516481967	-0.468071686177132	0.81900382578339	-0.715790551765982	-0.360059628374776	-0.438960067155699	Macs	2
GIMAP6	-0.865257108531275	1.97324417747902	-0.54842110036369	0.660666474379492	-0.555523817225135	-0.545504692200563	-0.119203933537845	Macs	2
STAT4	-0.989483996492759	1.90707636565607	-0.66143428518428	0.752711713443875	-0.427569464560373	-0.409267689484123	-0.172032643378415	Macs	2
SOCS1	-1.1401842573031	1.70200061028503	-0.645866353088055	0.673786931782281	-0.750312222075828	-0.341720034798939	0.502295325198613	Macs	2
ASCL2	-0.57925867486009	2.1578377069968	-0.411741956809657	0.142624299492568	-0.81995524346851	-0.130324134778963	-0.359181996572146	Macs	2
