GeneSymbol	Macs_IFN_B1a Macs_IFN_y	Macs_IL_10	Macs_IL_4 Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a Monos_IFN_y	Monos_IL_10	Monos_IL_4 Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a PMNs_IFN_y	PMNs_IL_4 PMNs_IL_13	Condition
APOBEC3G	24.16666667	6.333333333	4.333333333	49.66666667	37.16666667	6	14.33333333	3.333333333	1	48.33333333	33.66666667	7.333333333	DCs_IFN_B1a
IFIH1	88.33333333	16	11.16666667	252	166.6666667	27.33333333	135.5	42	51.83333333	205.6666667	165	34.16666667	DCs_IFN_B1a
JUP	60	31.66666667	27.83333333	157.3333333	114.3333333	30.66666667	38.33333333	12	14.66666667	27.66666667	17.5	6.5	DCs_IFN_B1a
KIAA0226	118	68.33333333	44	189	144.3333333	62	55.33333333	13.66666667	13	39.66666667	23.5	3.5	DCs_IFN_B1a
LGALS3BP	13.16666667	5.666666667	3.5	28.66666667	21.16666667	8.333333333	8.666666667	6.333333333	3.333333333	3.333333333	3.166666667	2.333333333	DCs_IFN_B1a
SSB	31.16666667	28.33333333	19	78.66666667	59	21.66666667	18.5	7.333333333	10	10	6.166666667	1.833333333	DCs_IFN_B1a
TMEM110	32.5	29	18.33333333	66.33333333	49.83333333	20.33333333	11.33333333	8.333333333	6.166666667	3.666666667	2.666666667	1.666666667	DCs_IFN_B1a
APOL4	21	3	4.666666667	14.33333333	49.83333333	26	1.666666667	0	0	0	1.166666667	0.166666667	DCs_IFN_B1a_DCs_IFN_y
ASPHD2	9	4.666666667	4.833333333	13.66666667	21.83333333	3.333333333	1.166666667	0.333333333	0.333333333	4	3.5	1.166666667	DCs_IFN_B1a_DCs_IFN_y
CBR1	61.83333333	29.66666667	23.5	173	130.8333333	59	6.666666667	2.666666667	3.833333333	3.666666667	2.166666667	1	DCs_IFN_B1a_DCs_IFN_y
GRIN3A	8.166666667	1.333333333	0.666666667	11.66666667	13.66666667	5	0	0	0	0.333333333	0.333333333	0	DCs_IFN_B1a_DCs_IFN_y
LAP3	53.33333333	32	9.5	75	81.33333333	48	42.83333333	8	4.166666667	44.33333333	30.33333333	2	DCs_IFN_B1a_DCs_IFN_y
MAR1	81.5	242	75.66666667	162.6666667	181.5	373	2.833333333	51	2.166666667	2	1.5	1.166666667	DCs_IL_10
PMPCA	10.33333333	16.33333333	9.333333333	10	18.16666667	34	9.333333333	6.666666667	7.833333333	1	1	1.5	DCs_IL_10
SLC1A3	12.5	43.66666667	21.33333333	14	15	64.66666667	30.66666667	20.33333333	19.33333333	1.666666667	1	2.5	DCs_IL_10
TUBB3	2.666666667	17.33333333	2.5	12.66666667	15.16666667	79	0.333333333	0.666666667	0	0.333333333	0.5	0	DCs_IL_10
IL21R	26.83333333	107	47.66666667	12	27.66666667	121.6666667	1.166666667	1.333333333	0.666666667	1.666666667	2.666666667	2.666666667	DCs_IL_10
RBBP6	51	49.33333333	36.83333333	57	54.16666667	31.33333333	102.8333333	48	65.5	76	53.5	18.16666667	Monos_IFN_B1a_Monos_IFN_y
TMEM255A	8.333333333	10.33333333	6.166666667	10.33333333	14.16666667	18.33333333	27.66666667	12	10.33333333	1	1.333333333	1	Monos_IFN_B1a_Monos_IFN_y
PLSCR1	76.33333333	109.3333333	37.33333333	76	51.5	35.33333333	213.3333333	129.3333333	54.83333333	147.6666667	110.1666667	33.5	Monos_IFN_B1a_Monos_IFN_y
APOL6	217	24.66666667	20	273	255	41.33333333	332.5	97.66666667	66.5	298.6666667	266.3333333	24.5	Monos_IFN_B1a_Monos_IFN_y
GCH1	187.8333333	31.33333333	14	169.3333333	135.5	7	812.1666667	337.3333333	314.3333333	171	158.6666667	55.33333333	Monos_IFN_B1a_Monos_IFN_y
IL15	7	1.666666667	0.833333333	11.66666667	13	3	19.83333333	4.666666667	4.333333333	0.333333333	0.5	0.5	Monos_IFN_B1a_Monos_IFN_y
IL15RA	16.16666667	0.666666667	0.5	26.66666667	21.83333333	0.666666667	75.5	10	14.83333333	9.666666667	8.666666667	1.5	Monos_IFN_B1a_Monos_IFN_y
IRG1	6	0	0.666666667	3.666666667	3.833333333	1	935.6666667	356.3333333	368.6666667	24.66666667	52.5	11.5	Monos_IFN_B1a_Monos_IFN_y
ISG20	34.83333333	3.333333333	4.333333333	59.33333333	31.33333333	1.333333333	363.8333333	53.66666667	55	460.6666667	326.5	63	Monos_IFN_B1a_Monos_IFN_y
MTHFD2L	4	4	2.166666667	2.333333333	2.666666667	2.333333333	163.5	61	48	2	3.166666667	3.333333333	Monos_IFN_B1a_Monos_IFN_y
ARNT2	2.5	17	0.5	0.666666667	0.833333333	8.666666667	9	46.66666667	5	0.333333333	0.166666667	0	Monos_IL_10
KRT17	1	1	2.833333333	1.333333333	1.333333333	5	12	22.66666667	2.666666667	1.666666667	4.166666667	1.5	Monos_IL_10
TNFRSF21	1.833333333	8	12	6.333333333	9.5	12	8.5	115.3333333	5.166666667	0.666666667	0.833333333	0	Monos_IL_10
TNIP3	103.3333333	400	111.6666667	29.33333333	36.5	252.3333333	199.1666667	778.6666667	154.8333333	4.666666667	5.166666667	5.166666667	Monos_IL_10
ACPP	3.5	14.33333333	6.166666667	6	7.333333333	17.66666667	3	35.33333333	2.5	1.666666667	1.833333333	2	Monos_IL_10
ADRB2	3.5	11.33333333	2.666666667	2	2.333333333	1.333333333	26	47	13	1.333333333	2.5	1.833333333	Monos_IL_10
CASP5	12.5	46	4.666666667	0.666666667	1.666666667	6.666666667	5.833333333	61.33333333	2.5	14.66666667	14.83333333	4.666666667	Monos_IL_10
SLAMF1	13.5	44	10.16666667	9.333333333	9.166666667	50	6.333333333	113.3333333	20.33333333	1	1.333333333	5.333333333	Monos_IL_10
SPATA13	4.166666667	13.66666667	5.666666667	4.333333333	4.666666667	6.333333333	5.833333333	37	5.5	12.66666667	10.33333333	7.333333333	Monos_IL_10
STON2	1	3.666666667	0.5	0	0.166666667	0.666666667	12.66666667	33.66666667	3.833333333	0.333333333	1	0.5	Monos_IL_10
DHRS9	6.333333333	5.333333333	3.5	5.666666667	11.5	8.666666667	17.5	12	36.16666667	27	22.66666667	22.5	Monos_IL_4_Monos_IL_13
GADD45A	2	10.33333333	6.166666667	5	8.5	15.66666667	25.66666667	37.66666667	67.66666667	2.666666667	4	21.66666667	Monos_IL_4_Monos_IL_13
IGSF3	0.166666667	0.333333333	0.333333333	0.333333333	0.5	0.666666667	10.16666667	1.666666667	82.66666667	0	0.5	15.83333333	Monos_IL_4_Monos_IL_13
MMP1	7	19.33333333	29.66666667	0	1.166666667	0.333333333	38.16666667	34.66666667	71.83333333	0.666666667	0.666666667	1.666666667	Monos_IL_4_Monos_IL_13
PKD2	10.16666667	18.66666667	23	9.666666667	14.33333333	14	7.5	8.333333333	42.83333333	1.666666667	1.5	2.833333333	Monos_IL_4_Monos_IL_13
PRNP	28.16666667	55.66666667	46.16666667	30	48.83333333	58	115.8333333	106.3333333	168.3333333	11.33333333	19.83333333	65.16666667	Monos_IL_4_Monos_IL_13
PTGIR	32.33333333	71.66666667	45.33333333	19	22.83333333	52.66666667	33.33333333	28.66666667	75	3.666666667	4.333333333	21.16666667	Monos_IL_4_Monos_IL_13
SEMA3C	29.33333333	61.66666667	57	18	42	38.33333333	40	51	109.3333333	0.666666667	1.833333333	2.5	Monos_IL_4_Monos_IL_13
SLC4A7	8.166666667	26	33.33333333	10.66666667	14.66666667	20	9.333333333	5.666666667	43.33333333	0.333333333	0.666666667	3.166666667	Monos_IL_4_Monos_IL_13
STXBP5-AS1	6.5	12	8.166666667	0.333333333	3.666666667	5.333333333	3	3.666666667	41.33333333	1.666666667	2.833333333	3.5	Monos_IL_4_Monos_IL_13
CCL5	4	5.666666667	6.333333333	44	51.33333333	62	261.8333333	131.6666667	315	65.33333333	87.5	82.66666667	Monos_IL_4_Monos_IL_13
LRG1	1.833333333	19.33333333	3	1.666666667	3.833333333	51.33333333	4.833333333	51	6.666666667	59	60.33333333	48.16666667	PMNs_IFN_B1a
PARP8	5.5	4.666666667	3	6.333333333	9	5.333333333	3	2	2.166666667	13.66666667	13.83333333	10	PMNs_IFN_B1a
