CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	P.value	Correlation	RMSE	sample
0	0.0628825209826115	0.171898444064036	0	0	0.0983492601437579	0.0217578511988108	0.00592753209777532	0	0	0.0314325912805891	0.0119473020084287	0	0	0	0	0.442304156599211	0.0491640390366221	0.00860628068782107	0.095730021900336	0	0.367904191627512	0.946634671943847	GSM709413
0	0.110443252533267	0.276013468739151	0.047319990779623	0	0.0944001797734266	0.0275720501452613	0.0123981619810402	0	0	0.0220630110341684	0.0165540779060833	0.00575344984589967	0	0	0	0.229193357031613	0.0748400519921116	0.00495915986835921	0.0784897883699949	0.02	0.30146267725386	0.968532954425448	GSM709414
0	0.185897779270567	0.0939593553197842	0.0937789685078995	0	0.133090397355703	0.00813770425003918	0.00233859956543018	0	0	0.02067666091719	0.00669809717184364	0.00286059825444948	0	0	0	0.290614931282183	0.0833710993981878	0.000224502829554881	0.0783513058771692	0.02	0.291141531041322	0.988208279559574	GSM709415
0	0.138008936486115	0.250018422169865	0.0717025363646315	0	0.0616208325386504	0.00577238670347941	0.00117776270890179	0	0	0.0048478061635189	0	0.0149140374018958	9.94660158348348e-05	0	0	0.270756661310355	0.158428731162899	0.0036109019542007	0.0190415190196526	0.02	0.281350481905495	0.987115226878829	GSM709416
0	0.158196132685134	0.174601379886292	0	0.00843083133820939	0.0641198916645631	0.025096398714681	0.00685074403327574	0.0101560862060584	0	0.0531988167651694	0	0.0307563365910076	0.0271356657466171	0	0	0.233190763782433	0.188162290928053	0.0201046616585074	0	0	0.356562079242549	0.952957264843515	GSM709417
0	0.139792432941625	0.0815003780842572	0.108577476643364	0	0.193971868505907	0.0217382078329898	0.00514002107685432	0	0	0.0212563566924291	0.0127395733175837	0.0291816622249217	0	0	0	0.212511503824048	0.0654308537817489	0.0202066669233651	0.0879529981509066	0.02	0.276691692362349	0.985226198162441	GSM709418
0.0244341254440117	0.185791709030647	0.217450489925512	0	0	0.0758109555495329	0.0250182332543339	0.0104961664747344	0	0	0.026186425922099	0.0130434102661078	0.00575682225456095	0	0	0	0.223873324312647	0.115628742224119	0.0168558171640892	0.0596537781776052	0.01	0.341653068552074	0.960762063314084	GSM709419
0	0.108945572192336	0.268395046285558	0	0	0.0818416920291533	0.0443262725712858	0.00407341071925629	0	0	0.0602581834241153	0	0.021238990996569	0.0198268281362591	0	0	0.262192928288302	0.108154969182875	0.00553288995236144	0.0152132162219283	0	0.351454266472779	0.948635791692803	GSM709420
0	0.214912529959168	0.258535795667926	0.0606317874897444	0	0.0367139273627722	0.0220491841792038	0.0059897255495833	0	0	0.0151093919730847	0	0.0315481085860086	0	0	0	0.0982466557857416	0.209127184703322	0.0123465643207724	0.0347891444226726	0.05	0.190890676306061	1.04566392781336	GSM709421
0	0.147343611064208	0.141429145895049	0.0528084970044849	0	0.100682059799821	0.0303509756504499	0.00131570543712428	0.0426426249284935	0	0.0480827380691812	0	0.00721043420407214	0.019352018655624	0	0	0.222968055952918	0.133394289050043	0	0.052419844288531	0.02	0.276962761051957	0.984737782515893	GSM709422
0	0.169096372532578	0.187275086669488	0.0630479404179955	0	0.0647987231094393	0.0440033648647287	0.0023601427348532	0	0	0.0245980027748032	0	0.0251185836877951	0.00187866910318976	0	0	0.259902457600686	0.0663538851719156	0.00656821579932535	0.0849985555332028	0.03	0.243031363645428	1.00701107595465	GSM709423
0	0.191541775008895	0.140502005541695	0	0	0.0499913985122762	0.052893220474272	0.00259096234507133	0.0111849839148575	0	0.057424916115593	0	0.0451087421165063	0.0332270043749466	0	0	0.164752664193272	0.219529433311045	0.0123227267715579	0.0189301673200116	0.01	0.340638021999101	0.965336020516876	GSM709424
0	0.188970630560803	0.236767539247078	0.0412721204725276	0	0.0722069418560265	0.051541262052769	0.00261156884423363	0	0	0.045227383981711	0.0127408446941911	0.00437629485838777	0	0	0	0.175211489534088	0.0907959978164947	0	0.0782779260816897	0.02	0.281535345680549	0.985223843936675	GSM709425
0	0.171403230477794	0.370371842524526	0.0128570375487077	0	0.0871216393532962	0.0148282981194244	0.0134759787987786	0.0221379858352779	0	0.0491501403632883	0.0104832465024599	0.0186200579101236	0.000984539039957199	0	0	0.116251581007961	0.102626109971258	0.00968831254714708	0	0	0.386222562728163	0.93369409833843	GSM709426
0	0.155084938834308	0.207936128646026	0	0	0.101824061085411	0.04877409912937	0.00963444312524476	0.033097518563435	0	0.0358800311471987	0.0158114452756061	0.0217020880994583	0	0	0	0.236891383223851	0.131049328362273	0.00231453450781829	0	0.01	0.339748545955365	0.958778853821887	GSM709427
0	0.142507536842816	0.23045928734878	0	0	0.128278975162613	0	0.0100343725548248	0.0128746718393004	0	0.0429861134713049	0	0.0162427211828715	0.0378369803041709	0	0	0.107552146519175	0.211077646745979	0	0.0601495480281638	0.01	0.335158873272683	0.956246836535829	GSM709428
0	0.149568794856743	0.202345649130648	0.0821485339107808	0	0.101484597051147	0.0228604082882246	0.00570606874376442	0	0	0.0167328299525761	0.0101371420207525	0.00490048617244756	0.00196955718083176	0	0	0.282461385765544	0.0605773785028249	0.00986570567890132	0.0492414627448127	0.02	0.288977163900026	0.984609080204672	GSM709429
0.00272069706810042	0.130235469979234	0.145675424716587	0.103185298030408	0	0.0699904558619906	0.0160285336013457	0.0110041404782406	0	0	0.00455354906112534	0	0.0162246731759507	0	0	0	0.252044758404952	0.215901688055005	0.00315174892264118	0.0292835626444188	0.04	0.200917000646838	1.02232087812935	GSM709430
0	0.210296743829381	0.117963822624726	0.131347595063502	0	0.05032193935404	0	0.010545026257963	0.0189294148671969	0	0.0396095169072101	0.00429163473964469	0.0221148093669585	0.00230587476509122	0	0	0.228811821681241	0.159604231247016	0.00385756929602911	0	0	0.419731729661181	0.918273453970235	GSM709431
0	0.172751976979732	0.155753729170407	0.109316535347867	0	0.0597205095999833	0.0407852338204759	0.00096524563579536	0	0	0.0318264729069843	0.0133716035787815	0.000134851335601267	0	0	0	0.23605201649607	0.0877796517999489	0.00697159699979344	0.08457057632856	0.03	0.21997834981602	1.01276072448881	GSM709432
0.0357851171501881	0.189226863630336	0.146477506739604	0.0332778531691961	0	0.0634934786953259	0.026646886634867	0.00171801795728559	0	0	0.00712212398351686	0	0.0292595742219895	0.0163308342039847	0	0	0.263781693572757	0.0949258304417983	0	0.0919542195991508	0.04	0.199349700338324	1.04277986100916	GSM709433
0	0.157952273124371	0.094363655810117	0.0412861518657981	0	0.040983240134708	0.0409851433923232	0.00105785026922519	0	0	0.0250225642383466	0	0.00193284107361386	0.0326025906516816	0	0	0.232312750912721	0.229573259682613	0.0167854278013847	0.0851422510430975	0.03	0.254622686484039	0.996022157549675	GSM709434
0	0.142315238432189	0.150355671581288	0.0727998885244556	0	0.174056449088588	0	0.00504679701767864	0.00165658894842683	0	0.00687387246620551	0.000617530012796393	0	0.011501025095147	0	0	0.313943540915022	0.0671613090883063	0.00344721404631263	0.0502248747835847	0.02	0.284545300959968	0.992654465860595	GSM709435
0	0.169424175628126	0.237008189445969	0	0	0.116556117280378	0.00405728384381604	0.0106869911943668	0	0	0.0385433083768803	0.0134632856035814	0.00600690679443149	0	0	0	0.199653813031353	0.0953127713159234	0.0233099370617897	0.0859772204233839	0.02	0.309893135425048	0.973042574767817	GSM709436
0	0.273349060635925	0.0807317594905419	0.0114186179154877	0	0.265833688108089	0.0355465858016676	0.000167427874274431	0	0	0.0260887457593148	0.00105889716817965	0.000474628695738851	0.0223117736292102	0	0	0.123368303894722	0.100131552809138	0.00752463886674487	0.0519943193509661	0.02	0.29767825655611	1.00928561515426	GSM709437
0	0.190642023282462	0	0.068347841545584	0	0.44261948455157	0	0.00662087523390178	0	0	0.0256988278743323	0	0.021767522633726	0.045894102837578	0	0	0.0591394801130667	0.048836029843274	0.0202233534370066	0.0702104586474983	0.01	0.340520311329176	0.976779795640707	GSM709438
0	0.126368541773323	0.223254635782365	0	0	0.0726622454247201	0.0448089245441625	0.000160452061588292	0	0	0.0474172961959096	0	0.0278782364628895	0.0280033036384796	0	0	0.22348473543922	0.105288178761271	0.00824910599066524	0.0924243439254054	0.02	0.268596025932347	0.98679747890199	GSM709439
0	0.197910210655532	0.0578931486630046	0.0500389484722576	0	0.0807266486093268	0	0.00790214317354677	0.00176174870096824	0	0.0334236880921965	0.00488373607424999	0	0.0160483091498108	0	0	0.341443666928712	0.106521728442988	0.0105898614943497	0.0908561615430567	0.02	0.27355037717445	1.00553660823776	GSM709440
0	0.1999144473788	0.094463311347325	0.0751038599204222	0	0.040047730506406	0	0.00988067786006757	0.0113152641255696	0	0.0275181734902202	0.0249595589145525	0.014065865178178	0	0	0	0.265495995628539	0.141110117107296	0.00726076624132558	0.0888642323012981	0.02	0.282037506023906	0.992580381980179	GSM709441
0	0.197775344515898	0.157578462342278	0.0571265787725144	0	0.0512388546775359	0.0203772983711939	0.0036323251425479	0	0	0.0208799903248508	0.00767860027537925	0.00441579309397968	0.00744818556024833	0	0	0.302355314511632	0.123396918998008	0.0210552770544965	0.0250410563594371	0.02	0.285943183132392	0.9979727899096	GSM709442
0	0.140194520463522	0.158954453462625	0.104618583593862	0	0.0795257132739893	0.0378960885176934	0.00736967179945717	0.0393105458987165	0	0.0249349343977994	0.0215351699616539	0.00226709350862808	0	0	0	0.216305140337175	0.0891647054978683	0.00174637918511214	0.0761770001018974	0.02	0.302261725462447	0.966674797264051	GSM709443
0	0.149501470927596	0.17449178877723	0.0796304898939185	0	0.045089177190157	0.0133704299637035	0.00335202506591315	0	0	0.0195214805775951	0.00067274055879332	0.00790625822780212	0.0067500100795412	0	0	0.166700053810967	0.280244713799869	0.012041817210048	0.0407275439168663	0.03	0.251858860437373	0.996074280414235	GSM709444
0	0.21375342252722	0.0776120190927759	0.122264290474514	0	0.0644812162305072	0.0398647224433085	0.00753386768620108	0	0	0.0103828334734244	0.0315639446705147	0.0357385291508186	0	0	0	0.255092457381087	0.0508290575988091	0.00822102968334168	0.0826626095874778	0.03	0.226377363528895	1.02562665677311	GSM709445
0	0.142624464192548	0.262976169590577	0.0429382855458121	0	0.085070663390228	0.00590365414837	0.00805918505038236	0	0	0.0412322861109685	0.025153713566276	0.011658019325295	0	0	0	0.280515199259005	0.057596346569264	0.0180974503570039	0.0181745628942706	0.01	0.339946997592535	0.960221280410995	GSM709446
0	0.141382745660053	0.224368039728849	0	0	0.0754129884834818	0.0568377031784374	0.00125390997254055	0.0261629015538517	0	0.0594836421215507	0	0.0589785222955128	0	0	0	0.181568803368316	0.174550743637407	0	0	0.02	0.290668367737641	0.983177988323065	GSM709447
0	0.144214314861245	0.094306573634799	0.0536745226973396	0	0.0913781867892583	0.0115194086592523	0.00523777885329475	0.0114115950950858	0	0.0215214940899133	0.0142642950877538	0.00471382750531054	0	0	0	0.366141871491071	0.110887737707671	0.00911430440211752	0.0616140891258877	0.02	0.296234255623657	0.985427131800523	GSM709448
0.00247165538219824	0.157909420904365	0.211467472382523	0.0789747470438466	0	0.115609770141366	0.0100155411542917	0.0132233149509523	0.00651469498481711	0	0.0119285376861032	0.00343836044947718	0	0.0162645380213098	0	0	0.251478317441554	0.0764805930382284	0.00243079586075784	0.04179224055821	0.01	0.335621630259043	0.960557620098223	GSM709449
