CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	P.value	Correlation	RMSE	sample
0.00394516857314505	0	0.220238760746814	0	0.0937052827436966	0	0.167554520143397	0	0.114800568095102	0.0255151013172728	0	0.0363366961747954	0	0.05777995069931	0.0389440511247709	0	0	0.234648283890541	0.00653161649115547	0	0.97	-0.0409628431163695	1.08882057100149	GSM996267
0.244753825139007	0	0.230912890144841	0	0.0968439272462003	0.0142380154831898	0.124174890936314	0.00333814687744847	0	0	0	0.0743577826750892	0	0	0	0.0940889907608533	0.0885901042676843	0.0234918168913008	0.00520960957807254	0	0.15	0.141497326047869	1.04677027700711	GSM996268
0	0.218013769581268	0.034422194151632	0.197203375534953	0	0	0.00351095445184752	0	0	0.0835521910241387	0	0	0.0242023802221159	0	0	0.357520833716507	0	0	0.0815743013175377	0	0.71	0.0119148405134929	1.16628079681927	GSM996269
0	0.0624715463307961	0.274986333714466	0	0.102958050517003	0.0226623917322182	0.210914131038182	0.0675717182364369	0	0	0.00596772340793549	0	0.0360245201408215	0.0679853408109601	0.0903767695495093	0	0	0	0.0580814745216722	0	0.33	0.0866475842848021	1.07519703249044	GSM996270
0.279452945778081	0	0	0.0527372554054138	0	0.208126800898139	0	0.143301177364226	0.0823707496117844	0	0.00352575008028794	0.0374157855029762	0	0.0630060308714455	0	0	0.00769864473346524	0.011136458556883	0.111228401197299	0	0.4	0.0658229269407802	1.12773024761115	GSM996271
0.0753368531868661	0	0.0825683585001596	0.0899864457459835	0	0	0.118402512577818	0	0	0.0648801583702464	0.0317208692374472	0	0	0.241578637569874	0	0	0.190162570829917	0.0848664616794224	0.0204971323022655	0	0.86	-0.0108366475777335	1.12321924932184	GSM996272
0.0194917770294318	0	0	0.23499903452234	0	0.0242476188824541	0.10911358873454	0.221508637986826	0	0.0742750916663385	0.0039089112028621	0	0	0.0255715390214571	0	0	0.122214319080746	0.0392606012530905	0.0548553859303506	0.0705534946895631	0	0.244406015551045	1.00653126445146	GSM996273
0.0588866806315005	0.107015184417365	0	0.250757039181008	0	0.05592856066349	0.229639997388893	0.0362245488468201	0	0	0	0.166776055141408	0.00949976523543825	0	0.0852721684940781	0	0	0	0	0	0.54	0.0417770718124101	1.07269784592444	GSM996274
0.0870527179369544	0.0409242647382917	0.19521914104882	0	0	0	0.165720520108906	0	0.0960497464069242	0	0	0	0	0.00945468066902958	0	0	0.14378309558589	0	0.0474134920144154	0.214382341490768	0.61	0.0286798551037386	1.05593873694671	GSM996275
0.0384778074561061	0	0	0	0	0	0.00739843510021767	0.116199034289054	0.0800546597653166	0.120747722377067	0.0353214313210208	0.145117902026206	0	0	0	0	0.114837452795162	0	0.0974208501186945	0.244424704751156	0.08	0.168906713563306	1.01854861426917	GSM996276
