B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE	sample
0	0.0909557891784266	0.00207284833174299	0.151415858795953	0.250025933021807	0	0.00447895305568638	0	0.00745280165429238	0	0.0980399030504421	0.00692437454461178	0.159643126044678	0	0	0	0	0.00169984817649876	0.00118427222928154	0	0	0.226106291916579	0	0.619528534078543	0.786874117233551	GSM981627
0	0.0615084218816902	0	0.069655888093054	0.116260717355603	0.0272988367488593	0.00889052450999516	0	0.00891407691793063	0	0.110097462044914	0.0196292785874488	0.233970402589359	0.0439439449903954	0	0	0	0.00119942496565871	0	0	0	0.298631021315091	0	0.686216372607338	0.731523493923326	GSM981628
0	0.0908369504351117	0.010506396899244	0.190310930357179	0.240007382091219	0	0.0299200295419089	0	0.00798723552301821	0	0.103494380149534	0	0.141693346004363	0	0	0	0	0.0011743329061737	0.00811509246751083	0	0	0.175953923624738	0	0.59411036043593	0.806098395648161	GSM981629
0.00425982997621783	0.0098637705907583	0.0475378983627983	0	0.152917633711541	0.00275952513828749	0	0	0.0181243295845734	0.0186369972984082	0.0271493965230674	0.00714321995623072	0.236153344081331	0.0970463282057393	0	0	0	0.00655727081469955	0.0373920738704639	0	0	0.334458381885884	0	0.675490195847698	0.738400918546963	GSM981630
0	0.0490517315071511	0	0.0527016853714428	0.0938679477223535	0.0259523589231229	0.0264219007159341	0	0.00570385001229431	0	0.0696624592990635	2.88376031869314e-05	0.167145993008456	0.0396882189923355	0	0	0	0.00858521225623352	0.0173695671646184	0	0	0.443820237423807	0	0.716230711196928	0.698657726580726	GSM981631
0.0143259171596237	0.0577497594134388	0.0147601786419386	0.305811356294682	0.173267318876783	0	0.0124757880998608	0	0.0268833555461889	0	0.150441765569307	0.017950616858487	0.132717730257112	0	0	0.00291817300863592	0	0.000466568340821406	0.010046840257827	0	0	0.0801846316752947	0	0.609636579257676	0.793351391849193	GSM981632
0	0.0165991869967024	0.00723831374457263	0.323225604119989	0.110088418521231	0	0.0445722593611938	0	0.00535821648551284	0	0.152549571366104	0	0.135471146962413	0.0257666843051756	0	0.00979829723287191	0	0	0.0204448857987451	0	0	0.148887415105489	0	0.638903163435735	0.773029346156932	GSM981633
0	0.0371697751023205	0.0262416305706949	0.177646354857647	0.158513429391787	0	0.0142665463549802	0	0.0124945213343229	0	0.130627951738002	0.0120411141386318	0.159533956304532	0	0	0	0	0.00658440663137935	0.0182603652460292	0	0	0.246619948329673	0	0.638810291818547	0.772799878007099	GSM981634
0.00302955067905848	0.0245507844167118	0	0.0292402361712235	0.109536231324	0.0506386244158825	0.0241805973929405	0	0	0	0.0855860643415881	0	0.206193022722603	0.0468538266728725	0	0	0	0.00303860441748232	0.00576792613567492	0	0	0.411384531309962	0	0.694988088686219	0.719307168608658	GSM981635
0	0.112020490233066	0.00204270472452639	0.127660883774893	0.200970331161663	0	0.00140065480518311	0	0.00371319253291796	0	0.0933924839926165	0	0.251797507319793	0.0234081234444313	5.0566037279443e-05	0	0	0.0016627495643287	0.00107565276531118	0	0	0.18080465964399	0	0.591880398407285	0.807458163245022	GSM981636
0	0.0680505393161812	0	0	0.146386666512115	0.0325579563275903	0	0	0.0319010440034796	0.0158426734010493	0.0733625522577254	0	0.293130914837508	0.0230173562532174	0	0	0	0.0104511597305128	0.00791566607914561	0	0	0.297383471281475	0	0.659420189970295	0.75247316996123	GSM981637
0.00681319784899525	0.0698034541691593	0.00314475951347834	0.377399906886897	0.0995778867984452	0	0.0125307158334827	0	0.0422113542977891	0	0.151990057626669	0.0233817380200899	0.101967879538831	0	0	0.00361292896262645	0	0.000286794973468578	0.00975608664463633	0	0	0.097523238885432	0	0.663917645805661	0.750971877581064	GSM981638
0.0117493790763349	0.0542472047971904	0	0.116878979958602	0.126024667943178	0	0.028692027699211	0	0	0	0.0824149709420606	0.000337310006152684	0.246098295709243	0.020214033977263	0	0	0	0.000418068570232227	0	0	0	0.312925061320532	0	0.692922907669822	0.724769545222229	GSM981639
0	0.0293973555990901	0.00322567047501622	0.081665489271021	0.112009492140054	0.0110676381119486	0.0351325299172394	0	0.00492140635444951	0	0.0748176297895066	0	0.208113525452502	0.0386010605806534	0	0	0	0.00548398898329925	0.000734607783547579	0	0	0.394829605541673	0	0.708290489246379	0.707011120034605	GSM981640
0.00223810311206942	0.0599719592922371	0	0.246224175513923	0.141948892510723	0	0.0425055982600149	0	0.00930346742415985	0	0.245570977690714	0	0.112495705656723	0.00674572537535603	0	0	0	0.00285321308524474	0.0111672071639751	0	0	0.11897497491486	0	0.64072531123827	0.769614826011836	GSM981641
0.0174610643001505	0.0569508309883206	0.00376284158735713	0.294807785652367	0.10503604395657	0	0.0477153917112744	0	0.0332948367118793	0	0.0827479740987902	0.0322850549196347	0.127336159516296	0.0124438440399752	0	0.00524821781031232	0	0.00360619487466387	0.0246285818774851	0	0	0.152675177954925	0	0.610735797684746	0.795233732370765	GSM981642
0.0106417961314295	0.0347047083599921	0	0.14010795419484	0.134055342751795	0.0183358498938431	0.0728839587232012	0	0.0192508591994229	0	0.146890747562199	0	0.188298567045091	0	0	0	0	0.00364595169464797	0.0192290857109145	0	0	0.211955178732625	0	0.664873774115772	0.756525494128187	GSM981643
0	0.0885692384787045	0	0.0739176653211988	0.138257576289963	0.0271688575941037	0.00230375479613118	0	0.0260697159987755	0	0.103250385705514	0	0.298958039809979	0	0	0	0	0.00908544544110034	0	0	0	0.23241932056453	0	0.681440106313918	0.739321031857371	GSM981644
0.00705193096100491	0.0777201622707115	0.0145948907217792	0.00978703847241616	0.0950865277436936	0	0.0126671068831063	0	0.0224585611317977	0	0.0701273594548003	0	0.404898736960677	0.0241576984164959	9.38580777492146e-05	0	0	0.0012016403662934	0	0	0	0.260154488539475	0	0.676714489419807	0.736717198746086	GSM981645
0	0.0356600453126449	0	0.0908813603561688	0.127092321241148	0.00352476131135799	0.0335860901303685	0	0.000522183422199418	0	0.0980344653488341	0.0025371930989918	0.221918129300966	0.0112402266169597	0	0	0	0.0178756147363574	0.010358067224893	0	0	0.34676954189911	0	0.653499631671388	0.757161739038276	GSM981646
0	0.0170948500246943	0	0.228119836806616	0.0559332693225631	0	0.0490534308267009	0	0	0.0118911332256099	0.305965025538713	0	0.104571870363135	0.0149856362293053	0	0	0	0.00128146452304211	0.000468135464508319	0	0	0.210635347675112	0	0.684007211523143	0.731038622379313	GSM981647
0.00330435004793986	0.0631543236593856	0.00201731916256727	0.0802600921899476	0.116522154846364	0.0360283492048511	0.0120084604183652	0	4.82532004718152e-06	0	0.0756856016142171	0	0.184260667850325	0.0119684820733892	0	0	0	0.000126643633034865	0.0191721904205064	0	0	0.39548653955906	0	0.65924514009809	0.752112583591895	GSM981648
0	0.0577049157633462	0	0.0399271596265645	0.0406103881490824	0.0142996485807513	0	0	0.0201490555260664	0	0.0573031206870302	0	0.303540043654109	0.0207541658310581	0	0	0	0.00256263718430084	0	0	0	0.443148864997691	0	0.713716447747726	0.702857981000163	GSM981649
0.0506259684736172	0.149165141050151	0	0.216969234801156	0.108014742434784	0	0.0230388804443297	0	0.0625584156564835	0	0.0332800075111734	0.0500895353142659	0.203906139411488	0.00333438765681638	0	0.00070600812462851	0	0.00396677044244634	0.00782209593463019	0	0	0.0865226727440294	0	0.574676009758798	0.82143044940484	GSM981650
0.044563903741603	0.0885819920986546	0	0.359055086925863	0.101982535065564	0	0	0	0.036590384700624	0	0.0761360482019251	0.0139829302473304	0.117001018685003	0.0180117902311089	0	0.00162916092757933	0	0	0.00173667016055995	0	0	0.140728479014186	0	0.606185322809202	0.796793715774794	GSM981651
0.0177830917677014	0	0	0.0795246993449382	0.0352704600159818	0.0121732807629967	0	0	0.0265066081432416	0	0.0975893457905005	0	0.323854397387745	0.0311678164691327	0	0	0	0.000811924869657719	0.00153963300708773	0	0	0.373778742441017	0	0.702290026835002	0.71235335125557	GSM981652
0.000225025612896238	0.0669623886879289	0.00491548072516336	0.168743706796856	0.201139584637546	0	0.00907788896358144	0	0.0181942475997465	0	0.177490476862436	0.0449991183928281	0.0981038594482801	0.0176098276874165	0	0	0	0.000405910905789258	0	0	0	0.192132483679532	0	0.599217186299857	0.800545880853191	GSM981653
0	0.0386263366427754	0	0.293713229346532	0.138974694824412	0	0	0	0.0519084593320156	0	0.226680299400987	0	0.0849631973014266	0.0120558849916897	0	0.000736823878005295	0	0	0.00230075857770824	0	0	0.150040315704448	0	0.603927946509079	0.796710117828196	GSM981654
0	0.0773014124696792	0	0.220220324169537	0.12898932268814	0	0.00833006580025717	0	0.0239454279410055	0	0.0535805135194819	0.0264472235366156	0.190179908841032	0	0	0.00488157711804662	0	0.00163578760440057	0.00147332691871008	0	0	0.263015109393094	0	0.65421451884783	0.759742229437726	GSM981655
0	0.00972566969040948	0	0.0967130353155706	0.102080724789201	0	0.0106271800989779	0	0.00884532994040282	0	0.123576808778998	0	0.213087227471707	0.0148767616123919	0.00188678377604251	0	0	0.00093062038597036	0.00832541874090846	0	0	0.40932443939942	0	0.696003032564484	0.71887844671761	GSM981656
0	0.0772170499018157	0.00523270516328457	0.224516167657194	0.115040656413328	0	0	0	0.0431745536486667	0	0.187205711471253	0	0.0989604006810698	0	0	0.0109608690457111	0	0.00735936695987485	0.0299642223404829	0	0	0.20036829671732	0	0.605232437901007	0.797344644286066	GSM981657
0	0.0861452122904849	0.00423032464784584	0.11609740315085	0.112452737945795	0.00860717710062349	0.00462448115988703	0	0.0116246905391324	0	0.0727855571360831	0	0.205715605823872	0.0129503010952178	0	0.00375754750434633	0	0.00422048494363783	0.0035276036882735	0	0	0.35326087297395	0	0.692397965848071	0.723923586058958	GSM981658
0.000184086477284503	0.048323048187971	0	0.203448345050399	0.238204709693108	0	0.00403825644722872	0	0.039626588024832	0	0.106382941635981	0	0.211284787304512	0.0122579265079439	0.00072197660839823	0	0	0.013773819594417	0.0361988709124578	0	0	0.0855546435554675	0	0.643786308010857	0.77592667925362	GSM981659
0.0050006897792631	0.0442177109429627	0	0.189505411772847	0.0424017652716818	0	0	0	0.0232547655367531	0	0.141247771341402	0.00809219422370805	0.127318833767732	0.0161862952498648	0.00134310319859801	0.0013041661807999	0	0.00181591485703752	0.000975854533342822	0	0	0.397335523344007	0	0.692232418830242	0.723348965299731	GSM981660
0	0.0915863404877965	0.0068684031971298	0.0186290891901612	0.101207192659759	0.0109739883766791	0	0	0.00264557642040541	0	0.107364651858082	0	0.242732414229283	0.0325925099609047	0	0	0	0.00174102163728814	0.0127830766931848	0	0	0.370875735289327	0	0.691219337475026	0.723247469534712	GSM981661
