Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13	P.value	Correlation	RMSE	sample
0	0.0495066208304269	0.0665486243969179	0	0.382926043815089	0	0	0	0.188612435961681	0.240032671236446	0	0.0723736037594394	0.0600000000000001	0.209351523382212	1.01655769092066	GSM709413
0.0128106183447659	0.0210256584645358	0.0815952663802401	0	0.199352691133076	0.0949450121801263	0	0	0.207341878562925	0.363671295990657	0	0.0192575789436737	0	0.336450680439041	0.95170457551171	GSM709414
0.0576630281082663	0	0	0	0.0457098513940969	0.277694140171086	0	0	0.20261679491809	0.416316185408461	0	0	0	0.374870083014144	0.932762842105678	GSM709415
0.126783132605369	0	0	0	0	0.321082193097176	0	0	0.0664513522266998	0.336232806334121	0.149450515736634	0	0	0.323457651181792	0.990825559882221	GSM709416
0.0592393808119872	0	0.0342240560625432	0	0	0.309252780504238	0	0	0.00760894009698896	0.390009190190074	0.0939671065512103	0.105698545782958	0	0.422292916667924	0.915393139745172	GSM709417
0.0262114873655076	0	0.036145552857704	0	0.127695494792817	0.182413343217428	0	0	0.169494696272505	0.458039425494039	0	0	0	0.353694639500017	0.946934901390229	GSM709418
0.0192583486393705	0	0.0604045114172916	0	0	0.343343678734366	0	0	0.133166429364739	0.419834373077795	0	0.0239926587664378	0	0.37939051286423	0.928906189772836	GSM709419
0	0.0529564374504579	0.00138528105317505	0	0.120524256727728	0.129977501222471	0	0	0.139663443510082	0.503329323094111	0	0.0521637569419741	0	0.348546564085509	0.954540938392103	GSM709420
0.076117483367785	0	0	0	0.271368111693579	0.20644537585072	0	0	0.139053137722652	0.307015891365265	0	0	0.02	0.274955490670562	0.993266422626939	GSM709421
0	0.0647246501151413	0	0	0.273836754437802	0.0606131047605236	0	0	0.0405093692962706	0.469283987830194	0	0.0910321335600692	0	0.334200262191112	0.97069002993018	GSM709422
0.0263193910954855	0	0.126270696508852	0	0.0719106246953955	0.188244155973419	0	0	0.201622199813517	0.38563293191333	0	0	0	0.360996781196495	0.937992460592141	GSM709423
0.140115371088061	0	0	0	0.0298148822869424	0.31023087676797	0	0	0.158821947352475	0.349582799472943	0	0.0114341230316085	0	0.33212060514516	0.966580507271055	GSM709424
0.0367970632442034	0.0219521038143009	0	0	0.115417457425471	0.0961358118546842	0	0	0.166086392958004	0.445325564803784	0	0.118285605899553	0	0.312520105711177	0.96891686500593	GSM709425
0.0475807712789896	0	0.0211485611339771	0	0	0.30001561897303	0	0	0.224586906721936	0.401571256360949	0.00509688553111857	0	0	0.385054069858482	0.925349378003705	GSM709426
0	0	0.100670437099336	0	0	0.262533035205937	0	0	0	0.510018156652335	0	0.126778371042393	0	0.368401255216012	0.941619830785598	GSM709427
0	0.111741702741691	0	0	0.23241341022337	0.206208371097257	0.0277481974424247	0	0	0.345685993972973	0	0.0762023245222846	0	0.297643223757228	0.994165528849588	GSM709428
0	0.031899014170922	0.118816952944112	0	0.311491931901573	0.116999541338235	0.0108020388583762	0	0.0752775476482852	0.315618282088167	0	0.0190946910503285	0.05	0.220081379928501	1.02195371716522	GSM709429
0.0610731843916858	0	0.0300728080452991	0	0.0406247618161096	0.239389691387306	0	0	0.0875115748204688	0.445064747587232	0.0962632319518984	0	0	0.38746051121428	0.94183232678177	GSM709430
0.0856291740882316	0	0.0283064890956014	0	0.00318918562461058	0.322931364036078	0	0	0	0.315392224462738	0.244551562692741	0	0	0.375522550997347	0.967624556429688	GSM709431
0.0698680279425084	0	0	0	0	0.287972175916159	0	0	0.224658355100826	0.398977542041101	0	0.0185238989994054	0	0.306244133017214	0.966672764278334	GSM709432
0	0	0.3380646367204	0	0.0712160048879384	0.160753508810642	0	0	0.0222328312280288	0.407733018352991	0	0	0.12	0.173316335669032	1.05115845569043	GSM709433
0.128761789258922	0	0.0227859917601604	0	0	0.172993331514681	0	0.00208940159330789	0.161668222012324	0.455823799178174	0.0558774646824305	0	0	0.306052406125243	0.994212943717483	GSM709434
0	0.0368401539723195	0.0569450727077903	0	0.463167754852803	0.0739467545545032	0.0823556148058045	0	0	0.264100038352067	0	0.0226446107547119	0.12	0.164264930721301	1.06390015728645	GSM709435
0.00103736497950824	0.0104817517735493	0.106820638672251	0	0.489402839203092	0.0638985076786397	0.0437906562755776	0	0	0.222071491594078	0.0436708260717216	0.0188259237515823	0.1	0.180521872265505	1.05483135352949	GSM709436
0.0121785231030417	0.00786297964141541	0	0	0.160405652411878	0.201058949773883	0	0	0	0.563487683135479	0.0550062119343024	0	0	0.305387464660863	1.00528579718495	GSM709437
0	0.0294723205422531	0.0412448575324481	0	0.493201996761197	0	0	0.00248785255439312	0.0300748958559306	0.403518076753778	0	0	0.05	0.210181787622391	1.04790029852286	GSM709438
0	0.24936816756024	0	0	0.319471090762516	0	0.0431317242885818	0	0	0.388029017388662	0	0	0.12	0.173468512441425	1.14334925202908	GSM709439
0	0.0224991517579011	0.0654009219209905	0	0.0173402472566291	0.183549746515608	0	0	0.172976242119192	0.438190207591231	0	0.100043482838448	0	0.304663013080379	0.966205962584315	GSM709440
0.0481929266832366	0	0.00207724247569427	0.0413425634904693	0	0.229599239829347	0	0	0.107920269403856	0.49582468112823	0.021376287085961	0.0536667899032057	0	0.356974384612099	0.950771393578089	GSM709441
0.0825887427101624	0	0	0	0	0.290401402063432	0	0	0.215428300288105	0.354582991463807	0.0358747524511545	0.0211238110233385	0	0.397384693812541	0.920869066265443	GSM709442
0	0.0844422087816518	0	0	0.343785016694938	0.134763505583187	0	0	0.143032477732081	0.293976791208143	0	0	0.04	0.248515914238059	1.00954425959676	GSM709443
