CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell	P.value	Correlation	RMSE	sample
0.154683448885696	0.145293964155299	0.268071426803218	0.0746974165015438	0	0.15040885961981	0	0.00336221389578941	0	0	0	0	0	0.00807449804601635	0	0	0.0310489734127527	0.148755871626284	0.0156033270535908	0	0	0.648075051389642	0.763524698343171	S100_day_7
0.131812370684135	0.159552938972308	0.151617122562675	0.0701732880301328	0	0.166260591316389	0.00697774549696575	0.001544012786828	0	0	0	0	0	0.0226632733982262	0	0	0.0700600057104762	0.219338651041864	0	0	0	0.70303535133806	0.720235739881015	S100_DX
0.2202080620227	0.0966302384634974	0.157861675173931	0.0693468982854954	0	0.131068637263469	0.00567541007388397	0.00166689174801584	0	0	0	0	0.00277507414525687	0.0205105994638362	0	0	0.0690597963474627	0.225196717012451	0	0	0	0.629310053923302	0.778104741986049	S100_week_24
0.245224368206057	0.100595540257247	0.201558889187964	0.0791077119526818	0	0.133927852667282	0.0083369168027567	0.00131643435080441	0	0	0	0	0	0.0083367606391317	0	0	0.0457931919419507	0.175802333994124	0	0	0	0.690407860584905	0.730067631848667	S100_week_4
0.238365661305567	0.140771164053161	0.155714241110323	0.0941374277657058	0	0.102763574362277	0	0.0104615469139848	0	0	0	0	0	0.0403048619624728	0	0	0.0575946277431963	0.158902502107878	0.000984392675434119	0	0	0.669539777413164	0.743335732180502	S101_day_7
0.127281483423325	0.142190533257079	0.166000195589281	0.101894842639394	0	0.0572823604083328	0.00528585450928529	0.00255115341808691	0	0	0	0	0	0.019271552544163	0	0	0.0640944861601151	0.314147538050939	0	0	0	0.644400810491956	0.76803731021773	S101_DX
0.169354728592133	0.13616370247288	0.180535045227031	0.0834280437223536	0	0.147101140604862	0.00768818959218828	0.0078449112758393	0	0	0	0	0	0.0237335879308097	0.00301626225212245	0	0.0858409612143425	0.155293427115439	0	0	0	0.648575472103809	0.763519720419505	S101_week_24
0.109573816948978	0.155115163236776	0.220924948018401	0.0907785756368683	0	0.120115004460608	0	0.00888051711952047	0	0	0	0	0	0.0390854068943748	0	0	0.088575498056218	0.164289182910148	0.0026618867181066	0	0	0.566083657115136	0.823088291792516	S101_week_4
0.195608744534925	0.0935725262467597	0.15000868652142	0.102309221919133	0	0.124748041473526	0	0.00511339655452824	0	0	0	0	0.00715707792982512	0.0214692357816674	0	0	0.0477766469683979	0.251380413932111	0	0.000856008137706273	0	0.584961054747739	0.810336450563047	S102_day_7
0.114905874572353	0.0979736196906024	0.163385287141425	0.113879839529149	0	0.116659358080091	0.000130132097102805	0.00791838034110739	0	0	0	0.00230939470477744	0	0.0153199225406296	0	0	0.0506579989513524	0.306779666501777	0.00146685736623436	0.0086136684833977	0	0.587190390850821	0.811526390658665	S102_DX
