B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE	sample
0	0.0204620181526187	0	0.0108783173511922	0.0243858953103583	0.0800806061379831	0.018857381237048	0	0	0	0.0543659575013122	0	0.153360339302935	0.0124769540143227	0	0	0	0	0.0106488374067583	0	0	0.614483693585471	0	0.798603721275938	0.610550677106942	TB_8
0.00287862569342597	0	0	0.0511960084601563	0.0421490088045326	0.116211013855228	0	0	0	0	0.208356126029188	0	0.147873101725921	0	0	0	0	0	0.00867629193072575	0	0	0.422659823500823	0	0.687528764190591	0.728027296844037	TB_13
0.00489651291004297	0	0	0.053996158497415	0	0.112953415580277	0	0	0.00703143618758154	0	0.112496644161112	0	0.220065374417584	0.0484406565134314	0	0	0	0	0	0	0	0.440119801732556	0	0.662720289534371	0.752633570621769	TB_4
0.0160619286590686	0	0	0	0.0657937052005505	0.0737368686525105	0.0268824364596291	0	0.00852336990337126	0	0.080868560991705	0	0.0971425182123767	0.0187342964723776	0	0	0	0.0103038915213744	0	0	0	0.601952423927036	0	0.71986780144917	0.707654020800998	TB_10
0.0156842368447959	0	0	0.0796637603153412	0.0652494507952835	0.0661688915406024	0.00524376339588513	0	0.00436716874396156	0	0.0705068758879509	0	0.126442377923855	0	0	0	0	0.00109027006483686	0.014714990672392	0	0	0.550868213815095	0	0.742135154909528	0.675368372257257	TB_15
0.0273339106407559	0	0	0.0552105669141541	0.0460902913635014	0.0119717440013736	0.0196090286118899	0	0.00937918916533395	0	0.107206411507272	0	0.143117555535538	0.0348592370734045	0	0	0	0	0	0	0	0.545222065186776	0	0.717669014671134	0.704244898891797	TB_12
0.0304512613926359	0	0	0.0502334008537955	0.0317535823395272	0.13410503808104	0	0	0	0	0.108952093828263	0	0.113351338358672	0	0	0	0	0.00130564737499105	0.016596944510297	0	0	0.513250693260779	0	0.698721880654875	0.719906022416727	TB_3
0.0180404205301647	0	0	0.0882136196744587	0.0535831182313779	0.103216345064734	0.0153440263676154	0	0	0	0.0913942653368537	0	0.135583321882361	0.0133315224299581	0	0	0	0.0073037635364714	0.0363685323851628	0	0	0.437621064560842	0	0.717366395235515	0.698868234373472	TB_5
0	0	0	0.00117182795405472	0.099638951263865	0.136912943315013	0.0135335954173367	0	0	0	0.059681188537631	0	0.207124125111287	0.0232915730962064	0	0	0	0.00169162590491575	0.0100908022066568	0	0	0.446863367193033	0	0.71281266513431	0.702074969609272	TB_2
0.0538711124038777	0	0	0.0768168229644218	0.0618497341833615	0.0905465298163819	0.0270637415294852	0	0	0	0.093299415860658	0	0.156856043901897	0	0	0	0	0.00853128835139475	0.00575429837814252	0	0	0.42541101261038	0	0.747221073793242	0.669608657439901	TB_7
0.00270367062020988	0	0	0.076281984860115	0.0459244287112293	0.0859375971180087	0	0	0.00787910809280019	0	0.0908245347993512	0	0.275133279156765	0.0159361874353933	0	0	0	0.000232426609099521	0.012917978551074	0	0	0.386228804045953	0	0.696602428112305	0.718098274683281	TB_16
0	0.00730091316411942	0	0.0537111699042369	0	0.0759247749702988	0.012233463201085	0	0	0	0.0791098301285449	0	0.204128629570159	0	0	0	0	0	0.01656891178804	0	0	0.551022307273516	0	0.736916421070913	0.684542554372042	TB_11
