Macs_IFN_B1a_Macs_IFN_y	Macs_IL_10	Macs_IL_4_Macs_IL_13	DCs_IFN_B1a	DCs_IFN_B1a_DCs_IFN_y	DCs_IL_10	Monos_IFN_B1a_Monos_IFN_y	Monos_IL_10	Monos_IL_4_Monos_IL_13	PMNs_IFN_B1a	PMNs_IFN_B1a_PMNs_IFN_y	PMNs_IL_4_PMNs_IL_13	P.value	Correlation	RMSE	sample
0	0.0829239389408838	0	0	0.242706563353062	0	0	0	0	0.481622641103672	0	0.192746856602382	0.07	0.280988940476561	1.00510051162036	GSM484368
0	0.0486216073875151	0	0	0.370630114703685	0	0	0	0	0.397820974503185	0	0.182927303405615	0.04	0.323755976962945	0.972791318224318	GSM484369
0	0.0615469592919934	0	0	0.364966609112977	0.0253334973515805	0	0	0.03409557106876	0.389729393112887	0	0.124327970061802	0.04	0.328106435183492	0.970415337027059	GSM484370
0	0.0721633726709869	0	0	0.488496526101276	0	0	0.0189421625455861	0	0.305418533586116	0	0.114979405096035	0.11	0.232885336800155	1.02938382474772	GSM484371
0	0.0773062226496899	0	0	0.373962132853565	0	0.0126367177356305	0	0	0.36799852124655	0	0.168096405514565	0.02	0.361293074600127	0.953035625540557	GSM484372
0	0.0692861830623786	0	0	0.532781552337872	0	0	0.0143203751617264	0	0.272578656469306	0	0.111033232968718	0.12	0.222999168268728	1.03500060746009	GSM484373
0	0.0980334725001234	0	0	0.231581795174977	0.0128371676717772	0.00536876898442212	0	0.02055014750812	0.490735193372863	0	0.140893454787718	0.07	0.271285540146529	1.01403289037074	GSM484374
0	0.0678421993638891	0	0	0.353763946791205	0	0	0	0	0.43162640467065	0	0.146767449174256	0.12	0.227598159037841	1.03457132616796	GSM484375
0	0.052050594607558	0	0	0.497253954018089	0	0	0.00123666328604185	0	0.353367857559411	0	0.0960909305289	0.05	0.317751595697581	0.98174445330162	GSM484376
0	0.0754183381070294	0	0	0.469698802696999	0	0	0	0.00771786052631823	0.30621160852258	0	0.140953390147073	0.16	0.188327203051984	1.05189682522386	GSM484377
0.0104723522664945	0.0509459095685314	0	0	0.290843710598917	0.0204490721830135	0	0	0.0309541489118682	0.446768788263884	0	0.149566018207291	0.02	0.359336919999357	0.953773196427555	GSM484378
0	0.140807350811479	0	0	0.405762846707444	0	0	0	0.0724486280000761	0.27653096126668	0	0.10445021321432	0.14	0.207259789926898	1.0510418329113	GSM484379
0	0.0310044722183357	0	0	0.558006557224764	0	0	0.0147028870719461	0	0.254695861961205	0.0839734553008488	0.0576167662229007	0.02	0.369835563516923	0.954033018929333	GSM484380
0.0405230347886742	0	0	0	0.500308736237009	0	0	0.0152290954006514	0	0.282445946238502	0.0654344551109563	0.0960587322242067	0.02	0.352253889307597	0.963666190325576	GSM484381
0	0.0446328039134817	0	0	0.466097949684454	0	0	0.0190927648427342	0	0.358515916173208	0	0.111660565386122	0.08	0.268443564044934	1.0067043153416	GSM484382
0	0.0596663801201533	0	0	0.56916706201214	0	0	0	0	0.161940403674915	0.087036008066457	0.122190146126335	0.0600000000000001	0.305909495571242	0.990343003656697	GSM484383
0	0.0331248981430141	0	0	0.529868184960027	0	0	0.0134738924849871	0	0.247633355038268	0.0210498295997576	0.154849839773946	0.0600000000000001	0.298140779937425	0.983932993151187	GSM484384
0	0.0898575597262741	0	0	0.498663700594931	0	0	0.00255954545235452	0	0.261247640193381	0	0.147671554033059	0.15	0.198953757095338	1.04923551342188	GSM484385
0	0.0568878720655823	0	0	0.406855690702651	0.0226352203158783	0.0878603228291068	0	0	0.282067082582786	0	0.143693811503996	0.0600000000000001	0.30407731605065	0.981089792081809	GSM484386
0	0.0872276429437137	0	0	0.504994542763513	0	0	0	0	0.182185376997992	0.0879105159738649	0.137681921320916	0.02	0.365461055213187	0.95690178835877	GSM484387
0	0.0490277523879735	0	0	0.522445441912355	0	0	0.0161305555688437	0	0.249218404849068	0.0909229385828235	0.0722549066989358	0.02	0.366885211804638	0.956781583985984	GSM484388
0	0.026769877315545	0	0	0.461781138537809	0	0	0.00900541089971272	0	0.336172263929612	0	0.166271309317321	0.0600000000000001	0.296157942653952	0.98456791592775	GSM484389
0	0.107282347719095	0	0	0.503488298026125	0	0	0	0	0.255824833761739	0	0.133404520493041	0.07	0.275966742170414	1.01129289891078	GSM484390
0	0.0865208138202124	0	0	0.565908738077342	0	0	0.0147451038587253	0	0.20793970689469	0.0303095618552674	0.0945760754937636	0.08	0.262982325196182	1.01986188506112	GSM484391
0	0.0673078043255618	0	0	0.339589042875228	0	0	0	0	0.392651292373358	0	0.200451860425853	0.05	0.30975651968798	0.981179415765631	GSM484392
0	0.0784989682604982	0	0	0.389415007126319	0.0135297575817295	0	0	0.0766166431581036	0.322181801318646	0	0.119757822554704	0.0600000000000001	0.306349637571405	0.97929573075051	GSM484393
0	0.107387671302639	0	0	0.549840802696748	0	0	0.00647956140654696	0	0.230265034961828	0	0.106026929632237	0.15	0.190323384664497	1.06491877185479	GSM484394
0	0.0562014083464949	0	0	0.435077355567548	0	0	0.00558318998687746	0	0.285398532282402	0.118536571896013	0.099202941920665	0.02	0.463639465398087	0.895594309466657	GSM484395
0.0155138686278148	0.0115364612889679	0	0	0.460363507287379	0	0	0.0206882888945763	0	0.39236469624212	0.0121847995352295	0.0873483781239122	0.02	0.452927669445788	0.898037041330182	GSM484396
0	0.108499960229571	0	0	0.426704421618923	0	0.0272366580571443	0	0.0837117953170656	0.281843204063094	0	0.0720039607142022	0.09	0.258046269934866	1.01528892303973	GSM484397
0.0319374824580236	0.0176239748290279	0	0	0.37359523917338	0	0	0.0100637788224586	0	0.316187453487105	0.114909821739222	0.135682249490784	0.02	0.420462738525476	0.923655113112656	GSM484398
0.0288974546990055	0.0290394764218825	0	0	0.374090167908216	0.000813331900998268	0	0	0	0.419079468814061	0	0.148080100255837	0.02	0.395349462676451	0.934697808914744	GSM484399
0	0.0488990023378481	0	0	0.457884952085226	0	0	0.00768826506822665	0	0.351500016385024	0	0.134027764123675	0.1	0.247247914554735	1.01760825254054	GSM484400
0	0.0962638966796452	0	0	0.361259313599346	0	0.0224211916865306	0	0.0361051080343637	0.285955938676373	0	0.197994551323742	0.11	0.237902771941025	1.01727107749421	GSM484448
0.0117015606099234	0.0310305771944902	0	0	0.483877635793046	0	0	0.00985839144939141	0	0.320109072355878	0.0298577283333645	0.113565034263906	0.02	0.355004584012986	0.958178558739363	GSM484449
0	0.0779098816427968	0	0	0.287998090901534	0	0.014649081948178	0	0.0420327196580341	0.503662790167222	0	0.0737474356822344	0.1	0.253039620563214	1.02748213771069	GSM484450
0.0134105409173639	0.0315656974461473	0	0	0.456014243599914	0	0	0.0172286398613479	0	0.342492944146252	0.0693617279407188	0.0699262060882562	0.02	0.35434132882783	0.966234336807798	GSM484451
